ID,Name,Rareness,ItemType,LevelRequirement,HonorPointReq,SkillBonusID1,SkillBonusID2,SkillBonusID3,SkillBonusAmount1,SkillBonusAmount2,SkillBonusAmount3,Description2,Description3,
34,Rejuvenation Tablet (L),1,2,0,0,0,0,0,0,0,0,Place in the pillbar,,
35,Gourd,1,6,10,4294967006,0,0,0,0,0,0,Use Q to use,,
36,Liquor Bottle,1,6,17,4294967013,0,0,0,0,0,0,Use Q to use,,
37,Jade Bottle,1,6,24,4294967020,0,0,0,0,0,0,Use Q to use,,
38,Lacquered Bottle,1,6,31,4294967027,0,0,0,0,0,0,Use Q to use,,
39,Gold Plated Bottle (M),1,6,38,4294967034,0,0,0,0,0,0,Use Q to use,,
40,Whirlwind,2,5,30,4294967196,0,0,0,0,0,0,Sword Single Hit,Attack Range 2M / 2M,
41,Dragon Blade,2,5,30,4294967196,0,0,0,0,0,0,Sword Multi-Hits (4),Attack Range 2M / 2M,
42,Devil's Strike,2,5,30,4294967196,0,0,0,0,0,0,Blade Single Hit,Attack Range 2M / 2M,
43,Flash of Rage,2,5,30,4294967196,0,0,0,0,0,0,Blade Multi-Hits (3),Attack Range 2M / 2M,
44,Dragon Typhoon,2,5,30,4294967196,0,0,0,0,0,0,Marble Single-Hit ,Attack Range 8M / 12M,
45,Four Gods' blows,2,5,30,4294967196,0,0,0,0,0,0,Marble Multi-Hit (4),Attack Range 8M / 12M,
46,Dark Glimmer,2,5,30,4294967196,0,0,0,0,0,0,Katana Sing,e Hit,Attack Range 2M / 2M
47,Rain of Arrows,2,5,30,4294967196,0,0,0,0,0,0,Katana Multi-Hit (4),Attack Range 2M / 2M,
48,Dragon's Whirl,2,5,30,4294967196,0,0,0,0,0,0,Double Blade Single Hit,Attack Range 1M / 1M,
49,Dark Typhoon,2,5,30,4294967196,0,0,0,0,0,0,Double Dlade,Attack Range 1M / 1M,
50,Frozen Thunder,2,5,30,4294967196,0,0,0,0,0,0,Lute single-Hit,Attack Range 8M / 12M,
51,Flash from Heaven,2,5,30,4294967196,0,0,0,0,0,0,Lute Multi-Hit,Attack Range 8M / 12M,
52,Aeroblast,2,5,30,4294967196,0,0,0,0,0,0,Light blade Single Hit,Attack Range 2M / 3M,
53,Bloody Sword,2,5,30,4294967196,0,0,0,0,0,0,Light Blade Multi (3),Attack Range 2M / 2M,
54,Demon's Breath,2,5,30,4294967196,0,0,0,0,0,0,Long Spear Single hit,Attack Range 2M / 4M,
55,Devil Illusion,2,5,30,4294967196,0,0,0,0,0,0,Long Spear multi (3),Attack Range 2M / 2M,
56,Devil Hallucination,2,5,30,4294967196,0,0,0,0,0,0,Scepter Single hit,Attack Range 8M / 12M,
57,Devil Spirit,2,5,30,4294967196,0,0,0,0,0,0,Scepter Multi hit (3),Attact Range 8M / 12M,
58,5-Star Formation,2,5,30,4294967196,0,0,0,0,0,0,ncrease Chance to hit,11%/40% 195sec/480 sec,
59,Oval Formation,2,5,30,4294967196,0,0,0,0,0,0,Inc MovSpeed and Dodge,11%/40% 195sec/480sec,
60,Slayer Formation,2,5,40,4294967196,0,0,0,0,0,0,dmg to trapped enemies,dmg Applied 210%/400%,
61,Tiger Army Formation,3,5,50,4294967196,0,0,0,0,0,0,Heavenly Shield,HP Shield 113% / 200%,
62,Brute Force Formation,3,5,60,4294967196,0,0,0,0,0,0,Stun trapped enemies,Chance of stun 51%/90%,
63,Steel Wall Formation    ,3,5,70,4294967196,0,0,0,0,0,0,dmg to trapped enemies,Dmg Applied 210%/500%,
64,Whirlwind,2,5,30,4294967196,0,0,0,0,0,0,Sword Single Hit,Attack Range 2M / 2M,
65,Dragon Blade,2,5,30,4294967196,0,0,0,0,0,0,Sword Multi-Hits (4),Attack Range 2M / 2M,
66,Devil's Strike,2,5,30,4294967196,0,0,0,0,0,0,Blade Single Hit,Attack Range 2M / 2M,
67,Flash of Rage,2,5,30,4294967196,0,0,0,0,0,0,Blade Multi-Hits (3),Attack Range 2M / 2M,
68,Dragon Typhoon,2,5,30,4294967196,0,0,0,0,0,0,Marble Single-Hit ,Attack Range 8M / 12M,
69,Four Gods' blows,2,5,30,4294967196,0,0,0,0,0,0,Marble Multi-Hit (4),Attack Range 8M / 12M,
70,Dark Glimmer,2,5,30,4294967196,0,0,0,0,0,0,Katana Sing,e Hit,Attack Range 2M / 2M
71,Rain of Arrows,2,5,30,4294967196,0,0,0,0,0,0,Katana Multi-Hit (4),Attack Range 2M / 2M,
72,Dragon's Whirl,2,5,30,4294967196,0,0,0,0,0,0,Double Blade Single Hit,Attack Range 1M / 1M,
73,Dark Typhoon,2,5,30,4294967196,0,0,0,0,0,0,Double Dlade,Attack Range 1M / 1M,
74,Frozen Thunder,2,5,30,4294967196,0,0,0,0,0,0,Lute single-Hit,Attack Range 8M / 12M,
75,Flash from Heaven,2,5,30,4294967196,0,0,0,0,0,0,Lute Multi-Hit,Attack Range 8M / 12M,
76,Aeroblast,2,5,30,4294967196,0,0,0,0,0,0,Light blade Single Hit,Attack Range 2M / 3M,
77,Bloody Sword,2,5,30,4294967196,0,0,0,0,0,0,Light Blade Multi (3),Attack Range 2M / 2M,
78,Demon's Breath,2,5,30,4294967196,0,0,0,0,0,0,Long Spear Single hit,Attack Range 2M / 4M,
79,Devil Illusion,2,5,30,4294967196,0,0,0,0,0,0,Long Spear multi (3),Attack Range 2M / 2M,
80,Devil Hallucination,2,5,30,4294967196,0,0,0,0,0,0,Scepter Single hit,Attack Range 8M / 12M,
81,Devil Spirit,2,5,30,4294967196,0,0,0,0,0,0,Scepter Multi hit (3),Attact Range 8M / 12M,
82,Whirlwind,2,5,30,4294967196,0,0,0,0,0,0,Sword Single Hit,Attack Range 2M / 2M,
83,Dragon Blade,2,5,30,4294967196,0,0,0,0,0,0,Sword Multi-Hits (4),Attack Range 2M / 2M,
84,Devil's Strike,2,5,30,4294967196,0,0,0,0,0,0,Blade Single Hit,Attack Range 2M / 2M,
85,Flash of Rage,2,5,30,4294967196,0,0,0,0,0,0,Blade Multi-Hits (3),Attack Range 2M / 2M,
86,Dragon Typhoon,2,5,30,4294967196,0,0,0,0,0,0,Marble Single-Hit ,Attack Range 8M / 12M,
87,Four Gods' blows,2,5,30,4294967196,0,0,0,0,0,0,Marble Multi-Hit (4),Attack Range 8M / 12M,
88,Dark Glimmer,2,5,30,4294967196,0,0,0,0,0,0,Katana Sing,e Hit,Attack Range 2M / 2M
89,Rain of Arrows,2,5,30,4294967196,0,0,0,0,0,0,Katana Multi-Hit (4),Attack Range 2M / 2M,
90,Dragon's Whirl,2,5,30,4294967196,0,0,0,0,0,0,Double Blade Single Hit,Attack Range 1M / 1M,
91,Dark Typhoon,2,5,30,4294967196,0,0,0,0,0,0,Double Dlade,Attack Range 1M / 1M,
92,Frozen Thunder,2,5,30,4294967196,0,0,0,0,0,0,Lute single-Hit,Attack Range 8M / 12M,
93,Flash from Heaven,2,5,30,4294967196,0,0,0,0,0,0,Lute Multi-Hit,Attack Range 8M / 12M,
94,Aeroblast,2,5,30,4294967196,0,0,0,0,0,0,Light blade Single Hit,Attack Range 2M / 3M,
95,Bloody Sword,2,5,30,4294967196,0,0,0,0,0,0,Light Blade Multi (3),Attack Range 2M / 2M,
96,Demon's Breath,2,5,30,4294967196,0,0,0,0,0,0,Long Spear Single hit,Attack Range 2M / 4M,
97,Devil Illusion,2,5,30,4294967196,0,0,0,0,0,0,Long Spear multi (3),Attack Range 2M / 2M,
98,Devil Hallucination,2,5,30,4294967196,0,0,0,0,0,0,Scepter Single hit,Attack Range 8M / 12M,
99,Devil Spirit,2,5,30,4294967196,0,0,0,0,0,0,Scepter Multi hit (3),Attact Range 8M / 12M,
100,Whirlwind,2,5,30,4294967196,0,0,0,0,0,0,Sword Single Hit,Attack Range 2M / 2M,
101,Dragon Blade,2,5,30,4294967196,0,0,0,0,0,0,Sword Multi-Hits (4),Attack Range 2M / 2M,
102,Devil's Strike,2,5,30,4294967196,0,0,0,0,0,0,Blade Single Hit,Attack Range 2M / 2M,
103,Flash of Rage,2,5,30,4294967196,0,0,0,0,0,0,Blade Multi-Hits (3),Attack Range 2M / 2M,
104,Dragon Typhoon,2,5,30,4294967196,0,0,0,0,0,0,Marble Single-Hit ,Attack Range 8M / 12M,
105,Four Gods' blows,2,5,30,4294967196,0,0,0,0,0,0,Marble Multi-Hit (4),Attack Range 8M / 12M,
106,Dark Glimmer,2,5,30,4294967196,0,0,0,0,0,0,Katana Sing,e Hit,Attack Range 2M / 2M
107,Rain of Arrows,2,5,30,4294967196,0,0,0,0,0,0,Katana Multi-Hit (4),Attack Range 2M / 2M,
108,Dragon's Whirl,2,5,30,4294967196,0,0,0,0,0,0,Double Blade Single Hit,Attack Range 1M / 1M,
109,Dark Typhoon,2,5,30,4294967196,0,0,0,0,0,0,Double Dlade,Attack Range 1M / 1M,
110,Frozen Thunder,2,5,30,4294967196,0,0,0,0,0,0,Lute single-Hit,Attack Range 8M / 12M,
111,Flash from Heaven,2,5,30,4294967196,0,0,0,0,0,0,Lute Multi-Hit,Attack Range 8M / 12M,
112,Aeroblast,2,5,30,4294967196,0,0,0,0,0,0,Light blade Single Hit,Attack Range 2M / 3M,
113,Bloody Sword,2,5,30,4294967196,0,0,0,0,0,0,Light Blade Multi (3),Attack Range 2M / 2M,
114,Demon's Breath,2,5,30,4294967196,0,0,0,0,0,0,Long Spear Single hit,Attack Range 2M / 4M,
115,Devil Illusion,2,5,30,4294967196,0,0,0,0,0,0,Long Spear multi (3),Attack Range 2M / 2M,
116,Devil Hallucination,2,5,30,4294967196,0,0,0,0,0,0,Scepter Single hit,Attack Range 8M / 12M,
117,Devil Spirit,2,5,30,4294967196,0,0,0,0,0,0,Scepter Multi hit (3),Attact Range 8M / 12M,
118,Whirlwind,2,5,30,4294967196,0,0,0,0,0,0,Sword Single Hit,Attack Range 2M / 2M,
119,Dragon Blade,2,5,30,4294967196,0,0,0,0,0,0,Sword Multi-Hits (4),Attack Range 2M / 2M,
120,Devil's Strike,2,5,30,4294967196,0,0,0,0,0,0,Blade Single Hit,Attack Range 2M / 2M,
121,Flash of Rage,2,5,30,4294967196,0,0,0,0,0,0,Blade Multi-Hits (3),Attack Range 2M / 2M,
122,Dragon Typhoon,2,5,30,4294967196,0,0,0,0,0,0,Marble Single-Hit ,Attack Range 8M / 12M,
123,Four Gods' blows,2,5,30,4294967196,0,0,0,0,0,0,Marble Multi-Hit (4),Attack Range 8M / 12M,
124,Dark Glimmer,2,5,30,4294967196,0,0,0,0,0,0,Katana Sing,e Hit,Attack Range 2M / 2M
125,Rain of Arrows,2,5,30,4294967196,0,0,0,0,0,0,Katana Multi-Hit (4),Attack Range 2M / 2M,
126,Dragon's Whirl,2,5,30,4294967196,0,0,0,0,0,0,Double Blade Single Hit,Attack Range 1M / 1M,
127,Dark Typhoon,2,5,30,4294967196,0,0,0,0,0,0,Double Dlade,Attack Range 1M / 1M,
128,Frozen Thunder,2,5,30,4294967196,0,0,0,0,0,0,Lute single-Hit,Attack Range 8M / 12M,
129,Flash from Heaven,2,5,30,4294967196,0,0,0,0,0,0,Lute Multi-Hit,Attack Range 8M / 12M,
130,Aeroblast,2,5,30,4294967196,0,0,0,0,0,0,Light blade Single Hit,Attack Range 2M / 3M,
131,Bloody Sword,2,5,30,4294967196,0,0,0,0,0,0,Light Blade Multi (3),Attack Range 2M / 2M,
132,Demon's Breath,2,5,30,4294967196,0,0,0,0,0,0,Long Spear Single hit,Attack Range 2M / 4M,
133,Devil Illusion,2,5,30,4294967196,0,0,0,0,0,0,Long Spear multi (3),Attack Range 2M / 2M,
134,Devil Hallucination,2,5,30,4294967196,0,0,0,0,0,0,Scepter Single hit,Attack Range 8M / 12M,
135,Devil Spirit,2,5,30,4294967196,0,0,0,0,0,0,Scepter Multi hit (3),Attact Range 8M / 12M,
136,HP Elixer,3,3,0,0,0,0,0,0,0,0,gives 20 hp,,
137,Chi Elixer,3,3,0,0,0,0,0,0,0,0,gives 25 chi,,
138,Tin(3%),2,3,0,0,0,0,0,0,0,0,Can enhance weapons,"armor,boots and gloves",
139,Dark Steel(6%),2,3,0,0,0,0,0,0,0,0,Can enhance weapons,"armor,boots and gloves",
140,Black Steel(9%),3,3,0,0,0,0,0,0,0,0,Can enhance weapons,"armor,boots and gloves",
141,Steel Of Eternity(12%),3,3,0,0,0,0,0,0,0,0,Can enhance weapons,"armor,boots and gloves",
142,Steel Cannon (HS),2,5,60,4294967196,0,0,0,0,0,0,HP Shield 111% / 150%,Duration 60sec / 60sec,
143,Steel Cannon (HS),2,5,60,4294967196,0,0,0,0,0,0,HP Shield 111% / 150%,Duration 60sec / 60sec,
144,Steel Cannon (HS),2,5,60,4294967196,0,0,0,0,0,0,HP Shield 111% / 150%,Duration 60sec / 60sec,
145,Heavenly Blow,2,5,60,4294967196,0,0,0,0,0,0,Chance of deadly 12/75%,Duration 64sec/180 sec,
146,Heavenly Blow,2,5,60,4294967196,0,0,0,0,0,0,Chance of deadly 12/75%,Duration 64sec/180 sec,
147,Heavenly Blow,2,5,60,4294967196,0,0,0,0,0,0,Chance of deadly 12/75%,Duration 64sec/180 sec,
148,Garuda Song(GS),3,5,70,4294967196,0,0,0,0,0,0,Luck Applied 13% / 100%,Duration 65sec/240sec,
149,Garuda Song(GS),3,5,70,4294967196,0,0,0,0,0,0,Luck Applied 13% / 100%,Duration 65sec/240sec,
150,Return Scroll,1,2,1,0,0,0,0,0,0,0,return to hometown,,
151,Book Of Clear Fog,3,3,1,0,0,0,0,0,0,0,and gives the used,skillpoints back,
152,Whirlwind,2,5,30,4294967196,0,0,0,0,0,0,Sword Single Hit,Attack Range 2M / 2M,
153,Dragon Blade,2,5,30,4294967196,0,0,0,0,0,0,Sword Multi-Hits (4),Attack Range 2M / 2M,
154,Devil��s Strike,2,5,30,4294967196,0,0,0,0,0,0,Blade Single Hit,Attack Range 2M / 2M,
155,Flash of Rage,2,5,30,4294967196,0,0,0,0,0,0,Blade Multi-Hits (3),Attack Range 2M / 2M,
156,Dragon Typhoon,2,5,30,4294967196,0,0,0,0,0,0,Marble Single-Hit ,Attack Range 8M / 12M,
157,Four Gods' blows,2,5,30,4294967196,0,0,0,0,0,0,Marble Multi-Hit (4),Attack Range 8M / 12M,
158,Dark Glimmer,2,5,30,4294967196,0,0,0,0,0,0,Katana Sing,e Hit,Attack Range 2M / 2M
159,Rain of Arrows,2,5,30,4294967196,0,0,0,0,0,0,Katana Multi-Hit (4),Attack Range 2M / 2M,
160,Dragon's Whirl,2,5,30,4294967196,0,0,0,0,0,0,Double Blade Single Hit,Attack Range 1M / 1M,
161,Dark Typhoon,2,5,30,4294967196,0,0,0,0,0,0,Double Dlade,Attack Range 1M / 1M,
162,Frozen Thunder,2,5,30,4294967196,0,0,0,0,0,0,Lute single-Hit,Attack Range 8M / 12M,
163,Flash from Heaven,2,5,30,4294967196,0,0,0,0,0,0,Lute Multi-Hit,Attack Range 8M / 12M,
164,Aeroblast,2,5,30,4294967196,0,0,0,0,0,0,Light blade Single Hit,Attack Range 2M / 3M,
165,Bloody Sword,2,5,30,4294967196,0,0,0,0,0,0,Light Blade Multi (3),Attack Range 2M / 2M,
166,Demon��s Breath,2,5,30,4294967196,0,0,0,0,0,0,Long Spear Single hit,Attack Range 2M / 4M,
167,Devil Illusion,2,5,30,4294967196,0,0,0,0,0,0,Long Spear multi (3),Attack Range 2M / 2M,
168,Devil Hallucination,2,5,30,4294967196,0,0,0,0,0,0,Scepter Single hit,Attack Range 8M / 12M,
169,Devil Spirit,2,5,30,4294967196,0,0,0,0,0,0,Scepter Multi hit (3),Attact Range 8M / 12M,
170,5-Star Formation,2,5,30,4294967196,0,0,0,0,0,0,ncrease Chance to hit,11%/40% 195sec/480 sec,
171,Oval Formation,2,5,30,4294967196,0,0,0,0,0,0,Inc MovSpeed and Dodge,11%/40% 195sec/480sec,
172,Whirlwind,2,5,30,4294967196,0,0,0,0,0,0,Sword Single Hit,Attack Range 2M / 2M,
173,Dragon Blade,2,5,30,4294967196,0,0,0,0,0,0,Sword Multi-Hits (4),Attack Range 2M / 2M,
174,Devil��s Strike,2,5,30,4294967196,0,0,0,0,0,0,Blade Single Hit,Attack Range 2M / 2M,
175,Flash of Rage,2,5,30,4294967196,0,0,0,0,0,0,Blade Multi-Hits (3),Attack Range 2M / 2M,
176,Dragon Typhoon,2,5,30,4294967196,0,0,0,0,0,0,Marble Single-Hit ,Attack Range 8M / 12M,
177,Four Gods' blows,2,5,30,4294967196,0,0,0,0,0,0,Marble Multi-Hit (4),Attack Range 8M / 12M,
178,Dark Glimmer,2,5,30,4294967196,0,0,0,0,0,0,Katana Sing,e Hit,Attack Range 2M / 2M
179,Rain of Arrows,2,5,30,4294967196,0,0,0,0,0,0,Katana Multi-Hit (4),Attack Range 2M / 2M,
180,Dragon��s Whirl,2,5,30,4294967196,0,0,0,0,0,0,Double Blade Single Hit,Attack Range 1M / 1M,
181,Dark Typhoon,2,5,30,4294967196,0,0,0,0,0,0,Double Dlade,Attack Range 1M / 1M,
182,Frozen Thunder,2,5,30,4294967196,0,0,0,0,0,0,Lute single-Hit,Attack Range 8M / 12M,
183,Flash from Heaven,2,5,30,4294967196,0,0,0,0,0,0,Lute Multi-Hit,Attack Range 8M / 12M,
184,Aeroblast,2,5,30,4294967196,0,0,0,0,0,0,Light blade Single Hit,Attack Range 2M / 3M,
185,Bloody Sword,2,5,30,4294967196,0,0,0,0,0,0,Light Blade Multi (3),Attack Range 2M / 2M,
186,Demon��s Breath,2,5,30,4294967196,0,0,0,0,0,0,Long Spear Single hit,Attack Range 2M / 4M,
187,Devil Illusion,2,5,30,4294967196,0,0,0,0,0,0,Long Spear multi (3),Attack Range 2M / 2M,
188,Devil Hallucination,2,5,30,4294967196,0,0,0,0,0,0,Scepter Single hit,Attack Range 8M / 12M,
189,Devil Spirit,2,5,30,4294967196,0,0,0,0,0,0,Scepter Multi hit (3),Attact Range 8M / 12M,
190,5-Star Formation,2,5,30,4294967196,0,0,0,0,0,0,ncrease Chance to hit,11%/40% 195sec/480 sec,
191,Oval Formation,2,5,30,4294967196,0,0,0,0,0,0,Inc MovSpeed and Dodge,11%/40% 195sec/480sec,
192,Whirlwind,2,5,30,4294967196,0,0,0,0,0,0,Sword Single Hit,Attack Range 2M / 2M,
193,Dragon Blade,2,5,30,4294967196,0,0,0,0,0,0,Sword Multi-Hits (4),Attack Range 2M / 2M,
194,Devil's Strike,2,5,30,4294967196,0,0,0,0,0,0,Blade Single Hit,Attack Range 2M / 2M,
195,Flash of Rage,2,5,30,4294967196,0,0,0,0,0,0,Blade Multi-Hits (3),Attack Range 2M / 2M,
196,Dragon Typhoon,2,5,30,4294967196,0,0,0,0,0,0,Marble Single-Hit ,Attack Range 8M / 12M,
197,Four Gods' blows,2,5,30,4294967196,0,0,0,0,0,0,Marble Multi-Hit (4),Attack Range 8M / 12M,
198,Dark Glimmer,2,5,30,4294967196,0,0,0,0,0,0,Katana Sing,e Hit,Attack Range 2M / 2M
199,Rain of Arrows,2,5,30,4294967196,0,0,0,0,0,0,Katana Multi-Hit (4),Attack Range 2M / 2M,
200,Dragon's Whirl,2,5,30,4294967196,0,0,0,0,0,0,Double Blade Single Hit,Attack Range 1M / 1M,
201,Dark Typhoon,2,5,30,4294967196,0,0,0,0,0,0,Double Dlade,Attack Range 1M / 1M,
202,Frozen Thunder,2,5,30,4294967196,0,0,0,0,0,0,Lute single-Hit,Attack Range 8M / 12M,
203,Flash from Heaven,2,5,30,4294967196,0,0,0,0,0,0,Lute Multi-Hit,Attack Range 8M / 12M,
204,Aeroblast,2,5,30,4294967196,0,0,0,0,0,0,Light blade Single Hit,Attack Range 2M / 3M,
205,Bloody Sword,2,5,30,4294967196,0,0,0,0,0,0,Light Blade Multi (3),Attack Range 2M / 2M,
206,Demon's Breath,2,5,30,4294967196,0,0,0,0,0,0,Long Spear Single hit,Attack Range 2M / 4M,
207,Devil Illusion,2,5,30,4294967196,0,0,0,0,0,0,Long Spear multi (3),Attack Range 2M / 2M,
208,Devil Hallucination,2,5,30,4294967196,0,0,0,0,0,0,Scepter Single hit,Attack Range 8M / 12M,
209,Devil Spirit,2,5,30,4294967196,0,0,0,0,0,0,Scepter Multi hit (3),Attact Range 8M / 12M,
210,5-Star Formation,2,5,30,4294967196,0,0,0,0,0,0,ncrease Chance to hit,11%/40% 195sec/480 sec,
211,Oval Formation,2,5,30,4294967196,0,0,0,0,0,0,Inc MovSpeed and Dodge,11%/40% 195sec/480sec,
212,Whirlwind,2,5,30,4294967196,0,0,0,0,0,0,Sword Single Hit,Attack Range 2M / 2M,
213,Dragon Blade,2,5,30,4294967196,0,0,0,0,0,0,Sword Multi-Hits (4),Attack Range 2M / 2M,
214,Devil's Strike,2,5,30,4294967196,0,0,0,0,0,0,Blade Single Hit,Attack Range 2M / 2M,
215,Flash of Rage,2,5,30,4294967196,0,0,0,0,0,0,Blade Multi-Hits (3),Attack Range 2M / 2M,
216,Dragon Typhoon,2,5,30,4294967196,0,0,0,0,0,0,Marble Single-Hit ,Attack Range 8M / 12M,
217,Four Gods' blows,2,5,30,4294967196,0,0,0,0,0,0,Marble Multi-Hit (4),Attack Range 8M / 12M,
218,Dark Glimmer,2,5,30,4294967196,0,0,0,0,0,0,Katana Sing,e Hit,Attack Range 2M / 2M
219,Rain of Arrows,2,5,30,4294967196,0,0,0,0,0,0,Katana Multi-Hit (4),Attack Range 2M / 2M,
220,Dragon's Whirl,2,5,30,4294967196,0,0,0,0,0,0,Double Blade Single Hit,Attack Range 1M / 1M,
221,Dark Typhoon,2,5,30,4294967196,0,0,0,0,0,0,Double Dlade,Attack Range 1M / 1M,
222,Frozen Thunder,2,5,30,4294967196,0,0,0,0,0,0,Lute single-Hit,Attack Range 8M / 12M,
223,Flash from Heaven,2,5,30,4294967196,0,0,0,0,0,0,Lute Multi-Hit,Attack Range 8M / 12M,
224,Aeroblast,2,5,30,4294967196,0,0,0,0,0,0,Light blade Single Hit,Attack Range 2M / 3M,
225,Bloody Sword,2,5,30,4294967196,0,0,0,0,0,0,Light Blade Multi (3),Attack Range 2M / 2M,
226,Demon's Breath,2,5,30,4294967196,0,0,0,0,0,0,Long Spear Single hit,Attack Range 2M / 4M,
227,Devil Illusion,2,5,30,4294967196,0,0,0,0,0,0,Long Spear multi (3),Attack Range 2M / 2M,
228,Devil Hallucination,2,5,30,4294967196,0,0,0,0,0,0,Scepter Single hit,Attack Range 8M / 12M,
229,Devil Spirit,2,5,30,4294967196,0,0,0,0,0,0,Scepter Multi hit (3),Attact Range 8M / 12M,
230,5-Star Formation,2,5,30,4294967196,0,0,0,0,0,0,ncrease Chance to hit,11%/40% 195sec/480 sec,
231,Oval Formation,2,5,30,4294967196,0,0,0,0,0,0,Inc MovSpeed and Dodge,11%/40% 195sec/480sec,
232,Whirlwind,2,5,30,4294967196,0,0,0,0,0,0,Sword Single Hit,Attack Range 2M / 2M,
233,Dragon Blade,2,5,30,4294967196,0,0,0,0,0,0,Sword Multi-Hits (4),Attack Range 2M / 2M,
234,Devil's Strike,2,5,30,4294967196,0,0,0,0,0,0,Blade Single Hit,Attack Range 2M / 2M,
235,Flash of Rage,2,5,30,4294967196,0,0,0,0,0,0,Blade Multi-Hits (3),Attack Range 2M / 2M,
236,Dragon Typhoon,2,5,30,4294967196,0,0,0,0,0,0,Marble Single-Hit ,Attack Range 8M / 12M,
237,Four Gods' blows,2,5,30,4294967196,0,0,0,0,0,0,Marble Multi-Hit (4),Attack Range 8M / 12M,
238,Dark Glimmer,2,5,30,4294967196,0,0,0,0,0,0,Katana Sing,e Hit,Attack Range 2M / 2M
239,Rain of Arrows,2,5,30,4294967196,0,0,0,0,0,0,Katana Multi-Hit (4),Attack Range 2M / 2M,
240,Dragon's Whirl,2,5,30,4294967196,0,0,0,0,0,0,Double Blade Single Hit,Attack Range 1M / 1M,
241,Dark Typhoon,2,5,30,4294967196,0,0,0,0,0,0,Double Dlade,Attack Range 1M / 1M,
242,Frozen Thunder,2,5,30,4294967196,0,0,0,0,0,0,Lute single-Hit,Attack Range 8M / 12M,
243,Flash from Heaven,2,5,30,4294967196,0,0,0,0,0,0,Lute Multi-Hit,Attack Range 8M / 12M,
244,Aeroblast,2,5,30,4294967196,0,0,0,0,0,0,Light blade Single Hit,Attack Range 2M / 3M,
245,Bloody Sword,2,5,30,4294967196,0,0,0,0,0,0,Light Blade Multi (3),Attack Range 2M / 2M,
246,Demon's Breath,2,5,30,4294967196,0,0,0,0,0,0,Long Spear Single hit,Attack Range 2M / 4M,
247,Devil Illusion,2,5,30,4294967196,0,0,0,0,0,0,Long Spear multi (3),Attack Range 2M / 2M,
248,Devil Hallucination,2,5,30,4294967196,0,0,0,0,0,0,Scepter Single hit,Attack Range 8M / 12M,
249,Devil Spirit,2,5,30,4294967196,0,0,0,0,0,0,Scepter Multi hit (3),Attact Range 8M / 12M,
250,5-Star Formation,2,5,30,4294967196,0,0,0,0,0,0,ncrease Chance to hit,11%/40% 195sec/480 sec,
