ID,Name,Level,ItemType,Rareness,Clan,Description1,Description2,Description3,LevelRequirement,HonorPointReq,PurchasePrice,SalePrice,DisplayItem2D,Strength,Dexterity,Vitality,Chi,Luck,Damage,Defense,LightDamage,ShadowDamage,DarkDamage,LightResistance,ShawdowResistance,DarkResistance,ChancetoHit,ChancetoDodge,PercentToDeadlyBlow,ValueType,Value1,SkillBonusID1,SkillBonusID2,SkillBonusID3,SkillBonusAmount1,SkillBonusAmount2,SkillBonusAmount3
51,Flash from Heaven,30,5,2,3,1/35 Skillpoints,Lute Multi-Hit,Attack Range 8M / 12M,30,-100,25230,8410,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Aeroblast,30,5,2,4,1/35 Skillpoints,Light blade Single Hit,Attack Range 2M / 3M,30,-100,25230,8410,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Bloody Sword,30,5,2,4,1/35 Skillpoints,Light Blade Multi (3),Attack Range 2M / 2M,30,-100,25230,8410,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Demon's Breath,30,5,2,4,1/35 Skillpoints,Long Spear Single hit,Attack Range 2M / 4M,30,-100,25230,8410,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Devil Illusion,30,5,2,4,1/35 Skillpoints,Long Spear multi (3),Attack Range 2M / 2M,30,-100,25230,8410,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,Devil Hallucination,30,5,2,4,1/35 Skillpoints,Scepter Single hit,Attack Range 8M / 12M,30,-100,25230,8410,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,Devil Spirit,30,5,2,4,1/35 Skillpoints,Scepter Multi hit (3),Attact Range 8M / 12M,30,-100,25230,8410,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,5-Star Formation,30,5,2,1,1/20 Skillpoints,Increase Chance to hit,11%/40% 195sec/480 sec,30,-100,25230,8410,838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Oval Formation,30,5,2,1,1/20 Skillpoints,Inc MovSpeed and Dodge,11%/40% 195sec/480sec,30,-100,25230,8410,838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,Slayer Formation,40,5,2,1,1/20 Skillpoints,dmg to trapped enemies,dmg Applied 210%/400%,40,-100,57670,19220,838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,Tiger Army Formation,50,5,3,1,1/20 Skillpoints,Heavenly Shield,HP Shield 113% / 200%,50,-100,110390,36790,838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,Brute Force Formation,60,5,3,1,1/20 Skillpoints,Stun trapped enemies,Chance of stun 51%/90%,60,-100,167620,55870,838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,Steel Wall Formation ,70,5,3,1,1/20 Skillpoints,dmg to trapped enemies,Dmg Applied 210%/500%,70,-100,223770,74590,838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,Whirlwind,40,5,2,2,1/35 Skillpoints,Sword Single Hit,Attack Range 2M / 2M,30,-100,57670,19220,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Dragon Blade,40,5,2,2,1/35 Skillpoints,Sword Multi-Hits (4),Attack Range 2M / 2M,30,-100,57670,19220,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,Devil's Strike,40,5,2,2,1/35 Skillpoints,Blade Single Hit,Attack Range 2M / 2M,30,-100,57670,19220,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,Flash of Rage,40,5,2,2,1/35 Skillpoints,Blade Multi-Hits (3),Attack Range 2M / 2M,30,-100,57670,19220,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,Dragon Typhoon,40,5,2,2,1/35 Skillpoints,Marble Single-Hit ,Attack Range 8M / 12M,30,-100,57670,19220,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,Four Gods' blows,40,5,2,2,1/35 Skillpoints,Marble Multi-Hit (4),Attack Range 8M / 12M,30,-100,57670,19220,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,Dark Glimmer,40,5,2,3,1/35 Skillpoints,Katana Single Hit,Attack Range 2M / 2M,30,-100,57670,19220,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Rain of Arrows,40,5,2,3,1/35 Skillpoints,Katana Multi-Hit (4),Attack Range 2M / 2M,30,-100,57670,19220,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,Dragon's Whirl,40,5,2,3,1/35 Skillpoints,Double Blade Single Hit,Attack Range 1M / 1M,30,-100,57670,19220,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,Dark Typhoon,40,5,2,3,1/35 Skillpoints,Double Dlade,Attack Range 1M / 1M,30,-100,57670,19220,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,Frozen Thunder,40,5,2,3,1/35 Skillpoints,Lute single-Hit,Attack Range 8M / 12M,30,-100,57670,19220,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,Flash from Heaven,40,5,2,3,1/35 Skillpoints,Lute Multi-Hit,Attack Range 8M / 12M,30,-100,57670,19220,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,Aeroblast,40,5,2,4,1/35 Skillpoints,Light blade Single Hit,Attack Range 2M / 3M,30,-100,57670,19220,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,Bloody Sword,40,5,2,4,1/35 Skillpoints,Light Blade Multi (3),Attack Range 2M / 2M,30,-100,57670,19220,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,Demon's Breath,40,5,2,4,1/35 Skillpoints,Long Spear Single hit,Attack Range 2M / 4M,30,-100,57670,19220,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,Devil Illusion,40,5,2,4,1/35 Skillpoints,Long Spear multi (3),Attack Range 2M / 2M,30,-100,57670,19220,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,Devil Hallucination,40,5,2,4,1/35 Skillpoints,Scepter Single hit,Attack Range 8M / 12M,30,-100,57670,19220,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,Devil Spirit,40,5,2,4,1/35 Skillpoints,Scepter Multi hit (3),Attact Range 8M / 12M,30,-100,57670,19220,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,Whirlwind,50,5,2,2,1/35 Skillpoints,Sword Single Hit,Attack Range 2M / 2M,30,-100,105390,35130,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,Dragon Blade,50,5,2,2,1/35 Skillpoints,Sword Multi-Hits (4),Attack Range 2M / 2M,30,-100,105390,35130,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,Devil's Strike,50,5,2,2,1/35 Skillpoints,Blade Single Hit,Attack Range 2M / 2M,30,-100,105390,35130,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,Flash of Rage,50,5,2,2,1/35 Skillpoints,Blade Multi-Hits (3),Attack Range 2M / 2M,30,-100,105390,35130,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,Dragon Typhoon,50,5,2,2,1/35 Skillpoints,Marble Single-Hit ,Attack Range 8M / 12M,30,-100,105390,35130,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,Four Gods' blows,50,5,2,2,1/35 Skillpoints,Marble Multi-Hit (4),Attack Range 8M / 12M,30,-100,105390,35130,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Dark Glimmer,50,5,2,3,1/35 Skillpoints,Katana Single Hit,Attack Range 2M / 2M,30,-100,105390,35130,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,Rain of Arrows,50,5,2,3,1/35 Skillpoints,Katana Multi-Hit (4),Attack Range 2M / 2M,30,-100,105390,35130,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,Dragon's Whirl,50,5,2,3,1/35 Skillpoints,Double Blade Single Hit,Attack Range 1M / 1M,30,-100,105390,35130,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,Dark Typhoon,50,5,2,3,1/35 Skillpoints,Double Dlade,Attack Range 1M / 1M,30,-100,105390,35130,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,Frozen Thunder,50,5,2,3,1/35 Skillpoints,Lute single-Hit,Attack Range 8M / 12M,30,-100,105390,35130,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,Flash from Heaven,50,5,2,3,1/35 Skillpoints,Lute Multi-Hit,Attack Range 8M / 12M,30,-100,105390,35130,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Aeroblast,50,5,2,4,1/35 Skillpoints,Light blade Single Hit,Attack Range 2M / 3M,30,-100,105390,35130,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,Bloody Sword,50,5,2,4,1/35 Skillpoints,Light Blade Multi (3),Attack Range 2M / 2M,30,-100,105390,35130,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Demon's Breath,50,5,2,4,1/35 Skillpoints,Long Spear Single hit,Attack Range 2M / 4M,30,-100,105390,35130,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,Devil Illusion,50,5,2,4,1/35 Skillpoints,Long Spear multi (3),Attack Range 2M / 2M,30,-100,105390,35130,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,Devil Hallucination,50,5,2,4,1/35 Skillpoints,Scepter Single hit,Attack Range 8M / 12M,30,-100,105390,35130,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,Devil Spirit,50,5,2,4,1/35 Skillpoints,Scepter Multi hit (3),Attact Range 8M / 12M,30,-100,105390,35130,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,Whirlwind,60,5,2,2,1/35 Skillpoints,Sword Single Hit,Attack Range 2M / 2M,30,-100,162620,54200,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Dragon Blade,60,5,2,2,1/35 Skillpoints,Sword Multi-Hits (4),Attack Range 2M / 2M,30,-100,162620,54200,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,Devil's Strike,60,5,2,2,1/35 Skillpoints,Blade Single Hit,Attack Range 2M / 2M,30,-100,162620,54200,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,Flash of Rage,60,5,2,2,1/35 Skillpoints,Blade Multi-Hits (3),Attack Range 2M / 2M,30,-100,162620,54200,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,Dragon Typhoon,60,5,2,2,1/35 Skillpoints,Marble Single-Hit ,Attack Range 8M / 12M,30,-100,162620,54200,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,Four Gods' blows,60,5,2,2,1/35 Skillpoints,Marble Multi-Hit (4),Attack Range 8M / 12M,30,-100,162620,54200,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,Dark Glimmer,60,5,2,3,1/35 Skillpoints,Katana Single Hit,Attack Range 2M / 2M,30,-100,162620,54200,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,Rain of Arrows,60,5,2,3,1/35 Skillpoints,Katana Multi-Hit (4),Attack Range 2M / 2M,30,-100,162620,54200,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,Dragon's Whirl,60,5,2,3,1/35 Skillpoints,Double Blade Single Hit,Attack Range 1M / 1M,30,-100,162620,54200,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,Dark Typhoon,60,5,2,3,1/35 Skillpoints,Double Dlade,Attack Range 1M / 1M,30,-100,162620,54200,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,Frozen Thunder,60,5,2,3,1/35 Skillpoints,Lute single-Hit,Attack Range 8M / 12M,30,-100,162620,54200,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,Flash from Heaven,60,5,2,3,1/35 Skillpoints,Lute Multi-Hit,Attack Range 8M / 12M,30,-100,162620,54200,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,Aeroblast,60,5,2,4,1/35 Skillpoints,Light blade Single Hit,Attack Range 2M / 3M,30,-100,162620,54200,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,Bloody Sword,60,5,2,4,1/35 Skillpoints,Light Blade Multi (3),Attack Range 2M / 2M,30,-100,162620,54200,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Demon's Breath,60,5,2,4,1/35 Skillpoints,Long Spear Single hit,Attack Range 2M / 4M,30,-100,162620,54200,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,Devil Illusion,60,5,2,4,1/35 Skillpoints,Long Spear multi (3),Attack Range 2M / 2M,30,-100,162620,54200,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,Devil Hallucination,60,5,2,4,1/35 Skillpoints,Scepter Single hit,Attack Range 8M / 12M,30,-100,162620,54200,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,Devil Spirit,60,5,2,4,1/35 Skillpoints,Scepter Multi hit (3),Attact Range 8M / 12M,30,-100,162620,54200,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,Whirlwind,70,5,2,2,1/35 Skillpoints,Sword Single Hit,Attack Range 2M / 2M,30,-100,218770,72920,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,Dragon Blade,70,5,2,2,1/35 Skillpoints,Sword Multi-Hits (4),Attack Range 2M / 2M,30,-100,218770,72920,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,Devil's Strike,70,5,2,2,1/35 Skillpoints,Blade Single Hit,Attack Range 2M / 2M,30,-100,218770,72920,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,Flash of Rage,70,5,2,2,1/35 Skillpoints,Blade Multi-Hits (3),Attack Range 2M / 2M,30,-100,218770,72920,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,Dragon Typhoon,70,5,2,2,1/35 Skillpoints,Marble Single-Hit ,Attack Range 8M / 12M,30,-100,218770,72920,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,Four Gods' blows,70,5,2,2,1/35 Skillpoints,Marble Multi-Hit (4),Attack Range 8M / 12M,30,-100,218770,72920,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,Dark Glimmer,70,5,2,3,1/35 Skillpoints,Katana Single Hit,Attack Range 2M / 2M,30,-100,218770,72920,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,Rain of Arrows,70,5,2,3,1/35 Skillpoints,Katana Multi-Hit (4),Attack Range 2M / 2M,30,-100,218770,72920,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,Dragon's Whirl,70,5,2,3,1/35 Skillpoints,Double Blade Single Hit,Attack Range 1M / 1M,30,-100,218770,72920,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
