ID,Name,Description1,Description2,Description3
45,"사신천환세","백도십삼천","권 전용","5초식 무공"
46,"파세현섬","패왕파천련","태도 전용","4초식 무공"
47,"시류연살","패왕파천련","태도 전용","5초식 무공"
48,"묵룡선회","패왕파천련","쌍극 전용","4초식 무공"
49,"암명선풍살","패왕파천련","쌍극 전용","5초식 무공"
50,"빙뢰천섬","패왕파천련","비파 전용","4초식 무공"
51,"비선파천곡","패왕파천련","비파 전용","5초식 무공"
52,"혈화공파세","혈무교","박도 전용","4초식 무공"
53,"혈마참천도","혈무교","박도 전용","5초식 무공"
54,"분귀격참","혈무교","장창 전용","4초식 무공"
55,"마신혈환격","혈무교","장창 전용","5초식 무공"
56,"환마격발파","혈무교","금강저 전용","4초식 무공"
57,"마신환혼장","혈무교","금강저 전용","5초식 무공"
58,"오성연환진","동행 진법무공","동행원들의","공격성공 상승"
59,"오성환원진","동행 진법무공","동행원들의","공격회피 상승"
60,"무극살상진","동행 진법무공","진 안의","적 1인 공격"
61,"천왕호각진","동행 진법무공","동행원들의","호신강기 형성"
62,"파공오행진","동행 진법무공","진 안의","영역 점혈 공격"
63,"단공축쇄진","동행 진법무공","진 안의","1회 영역 공격"
64,"백련회선","백도십삼천","검 전용 ","4초식 무공"
65,"용비구천검","백도십삼천","검 전용 ","5초식 무공"
66,"참마천격","백도십삼천","도 전용 ","4초식 무공"
67,"분뢰격섬","백도십삼천","도 전용 ","5초식 무공"
68,"맹룡격풍","백도십삼천","권 전용","4초식 무공"
69,"사신천환세","백도십삼천","권 전용","5초식 무공"
70,"파세현섬","패왕파천련","태도 전용","4초식 무공"
71,"시류연살","패왕파천련","태도 전용","5초식 무공"
72,"묵룡선회","패왕파천련","쌍극 전용","4초식 무공"
73,"암명선풍살","패왕파천련","쌍극 전용","5초식 무공"
74,"빙뢰천섬","패왕파천련","비파 전용","4초식 무공"
75,"비선파천곡","패왕파천련","비파 전용","5초식 무공"
76,"혈화공파세","혈무교","박도 전용","4초식 무공"
77,"혈마참천도","혈무교","박도 전용","5초식 무공"
78,"분귀격참","혈무교","장창 전용","4초식 무공"
79,"마신혈환격","혈무교","장창 전용","5초식 무공"
80,"환마격발파","혈무교","금강저 전용","4초식 무공"
81,"마신환혼장","혈무교","금강저 전용","5초식 무공"
82,"백련회선","백도십삼천","검 전용 ","4초식 무공"
83,"용비구천검","백도십삼천","검 전용 ","5초식 무공"
84,"참마천격","백도십삼천","도 전용 ","4초식 무공"
85,"분뢰격섬","백도십삼천","도 전용 ","5초식 무공"
86,"맹룡격풍","백도십삼천","권 전용","4초식 무공"
87,"사신천환세","백도십삼천","권 전용","5초식 무공"
88,"파세현섬","패왕파천련","태도 전용","4초식 무공"
89,"시류연살","패왕파천련","태도 전용","5초식 무공"
90,"묵룡선회","패왕파천련","쌍극 전용","4초식 무공"
91,"암명선풍살","패왕파천련","쌍극 전용","5초식 무공"
92,"빙뢰천섬","패왕파천련","비파 전용","4초식 무공"
93,"비선파천곡","패왕파천련","비파 전용","5초식 무공"
94,"혈화공파세","혈무교","박도 전용","4초식 무공"
95,"혈마참천도","혈무교","박도 전용","5초식 무공"
96,"분귀격참","혈무교","장창 전용","4초식 무공"
97,"마신혈환격","혈무교","장창 전용","5초식 무공"
98,"환마격발파","혈무교","금강저 전용","4초식 무공"
99,"마신환혼장","혈무교","금강저 전용","5초식 무공"
100,"백련회선","백도십삼천","검 전용 ","4초식 무공"
101,"용비구천검","백도십삼천","검 전용 ","5초식 무공"
102,"참마천격","백도십삼천","도 전용 ","4초식 무공"
103,"분뢰격섬","백도십삼천","도 전용 ","5초식 무공"
104,"맹룡격풍","백도십삼천","권 전용","4초식 무공"
105,"사신천환세","백도십삼천","권 전용","5초식 무공"
106,"파세현섬","패왕파천련","태도 전용","4초식 무공"
107,"시류연살","패왕파천련","태도 전용","5초식 무공"
108,"묵룡선회","패왕파천련","쌍극 전용","4초식 무공"
109,"암명선풍살","패왕파천련","쌍극 전용","5초식 무공"
110,"빙뢰천섬","패왕파천련","비파 전용","4초식 무공"
111,"비선파천곡","패왕파천련","비파 전용","5초식 무공"
112,"혈화공파세","혈무교","박도 전용","4초식 무공"
113,"혈마참천도","혈무교","박도 전용","5초식 무공"
114,"분귀격참","혈무교","장창 전용","4초식 무공"
115,"마신혈환격","혈무교","장창 전용","5초식 무공"
116,"환마격발파","혈무교","금강저 전용","4초식 무공"
117,"마신환혼장","혈무교","금강저 전용","5초식 무공"
118,"백련회선","백도십삼천","검 전용 ","4초식 무공"
119,"용비구천검","백도십삼천","검 전용 ","5초식 무공"
120,"참마천격","백도십삼천","도 전용 ","4초식 무공"
121,"분뢰격섬","백도십삼천","도 전용 ","5초식 무공"
122,"맹룡격풍","백도십삼천","권 전용","4초식 무공"
123,"사신천환세","백도십삼천","권 전용","5초식 무공"
124,"파세현섬","패왕파천련","태도 전용","4초식 무공"
125,"시류연살","패왕파천련","태도 전용","5초식 무공"
126,"묵룡선회","패왕파천련","쌍극 전용","4초식 무공"
127,"암명선풍살","패왕파천련","쌍극 전용","5초식 무공"
128,"빙뢰천섬","패왕파천련","비파 전용","4초식 무공"
129,"비선파천곡","패왕파천련","비파 전용","5초식 무공"
130,"혈화공파세","혈무교","박도 전용","4초식 무공"
131,"혈마참천도","혈무교","박도 전용","5초식 무공"
132,"분귀격참","혈무교","장창 전용","4초식 무공"
133,"마신혈환격","혈무교","장창 전용","5초식 무공"
134,"환마격발파","혈무교","금강저 전용","4초식 무공"
135,"마신환혼장","혈무교","금강저 전용","5초식 무공"
136,"활력단","Ctrl + 클릭 사용","체력 20 상승",""
137,"내공단","Ctrl + 클릭 사용","공력 25 상승",""
138,"주석(3%)","강화의 재료","무기와 방어구를","강화할 수 있다."
139,"현철석(6%)","강화의 재료","무기와 방어구를","강화할 수 있다."
140,"묵목철(9%)","강화의 재료","무기와 방어구를","강화할 수 있다."
141,"만년한철(12%)","강화의 재료","무기와 방어구를","강화할 수 있다."
142,"무극철포공","개인 공용무공","호신강기를 형성하여","적의 공격으로부터"
143,"무극철포공","개인 공용무공","호신강기를 형성하여","적의 공격으로부터"
144,"무극철포공","개인 공용무공","호신강기를 형성하여","적의 공격으로부터"
145,"무극천살공","개인 공용무공","치명적인 공격의","기회가 상승한다."
146,"무극천살공","개인 공용무공","치명적인 공격의","기회가 상승한다."
147,"무극천살공","개인 공용무공","치명적인 공격의","기회가 상승한다."
148,"천왕후","개인 공용무공","행운을 상승 시킴",""
149,"천왕후","개인 공용무공","행운을 상승 시킴",""
150,"귀환서","Ctrl + 클릭 사용","사용하면","본성으로 귀환"
151,"환원진경","선택한 무공을 삭제해","사용한 무공 숙련도를","돌려 받는다."
152,"백련회선","백도십삼천","검 전용 ","4초식 무공"
153,"용비구천검","백도십삼천","검 전용 ","5초식 무공"
154,"참마천격","백도십삼천","도 전용 ","4초식 무공"
155,"분뢰격섬","백도십삼천","도 전용 ","5초식 무공"
156,"맹룡격풍","백도십삼천","권 전용","4초식 무공"
157,"사신천환세","백도십삼천","권 전용","5초식 무공"
158,"파세현섬","패왕파천련","태도 전용","4초식 무공"
159,"시류연살","패왕파천련","태도 전용","5초식 무공"
160,"묵룡선회","패왕파천련","쌍극 전용","4초식 무공"
161,"암명선풍살","패왕파천련","쌍극 전용","5초식 무공"
162,"빙뢰천섬","패왕파천련","비파 전용","4초식 무공"
163,"비선파천곡","패왕파천련","비파 전용","5초식 무공"
164,"혈화공파세","혈무교","박도 전용","4초식 무공"
165,"혈마참천도","혈무교","박도 전용","5초식 무공"
166,"분귀격참","혈무교","장창 전용","4초식 무공"
167,"마신혈환격","혈무교","장창 전용","5초식 무공"
168,"환마격발파","혈무교","금강저 전용","4초식 무공"
169,"마신환혼장","혈무교","금강저 전용","5초식 무공"
170,"오성연환진","동행 진법무공","동행무공","공격성공 상승"
171,"오성환원진","동행 진법무공","동행무공","공격회피 상승"
172,"백련회선","백도십삼천","검 전용 ","4초식 무공"
173,"용비구천검","백도십삼천","검 전용 ","5초식 무공"
174,"참마천격","백도십삼천","도 전용 ","4초식 무공"
175,"분뢰격섬","백도십삼천","도 전용 ","5초식 무공"
176,"맹룡격풍","백도십삼천","권 전용","4초식 무공"
177,"사신천환세","백도십삼천","권 전용","5초식 무공"
178,"파세현섬","패왕파천련","태도 전용","4초식 무공"
179,"시류연살","패왕파천련","태도 전용","5초식 무공"
180,"묵룡선회","패왕파천련","쌍극 전용","4초식 무공"
181,"암명선풍살","패왕파천련","쌍극 전용","5초식 무공"
182,"빙뢰천섬","패왕파천련","비파 전용","4초식 무공"
183,"비선파천곡","패왕파천련","비파 전용","5초식 무공"
184,"혈화공파세","혈무교","박도 전용","4초식 무공"
185,"혈마참천도","혈무교","박도 전용","5초식 무공"
186,"분귀격참","혈무교","장창 전용","4초식 무공"
187,"마신혈환격","혈무교","장창 전용","5초식 무공"
188,"환마격발파","혈무교","금강저 전용","4초식 무공"
189,"마신환혼장","혈무교","금강저 전용","5초식 무공"
190,"오성연환진","동행 진법무공","동행무공","공격성공 상승"
191,"오성환원진","동행 진법무공","동행무공","공격회피 상승"
192,"백련회선","백도십삼천","검 전용 ","4초식 무공"
193,"용비구천검","백도십삼천","검 전용 ","5초식 무공"
194,"참마천격","백도십삼천","도 전용 ","4초식 무공"
195,"분뢰격섬","백도십삼천","도 전용 ","5초식 무공"
196,"맹룡격풍","백도십삼천","권 전용","4초식 무공"
197,"사신천환세","백도십삼천","권 전용","5초식 무공"
198,"파세현섬","패왕파천련","태도 전용","4초식 무공"
199,"시류연살","패왕파천련","태도 전용","5초식 무공"
200,"묵룡선회","패왕파천련","쌍극 전용","4초식 무공"
201,"암명선풍살","패왕파천련","쌍극 전용","5초식 무공"
202,"빙뢰천섬","패왕파천련","비파 전용","4초식 무공"
203,"비선파천곡","패왕파천련","비파 전용","5초식 무공"
204,"혈화공파세","혈무교","박도 전용","4초식 무공"
205,"혈마참천도","혈무교","박도 전용","5초식 무공"
206,"분귀격참","혈무교","장창 전용","4초식 무공"
207,"마신혈환격","혈무교","장창 전용","5초식 무공"
208,"환마격발파","혈무교","금강저 전용","4초식 무공"
209,"마신환혼장","혈무교","금강저 전용","5초식 무공"
210,"오성연환진","동행 진법무공","동행무공","공격성공 상승"
211,"오성환원진","동행 진법무공","동행무공","공격회피 상승"
212,"백련회선","백도십삼천","검 전용 ","4초식 무공"
213,"용비구천검","백도십삼천","검 전용 ","5초식 무공"
214,"참마천격","백도십삼천","도 전용 ","4초식 무공"
215,"분뢰격섬","백도십삼천","도 전용 ","5초식 무공"
216,"맹룡격풍","백도십삼천","권 전용","4초식 무공"
217,"사신천환세","백도십삼천","권 전용","5초식 무공"
218,"파세현섬","패왕파천련","태도 전용","4초식 무공"
219,"시류연살","패왕파천련","태도 전용","5초식 무공"
220,"묵룡선회","패왕파천련","쌍극 전용","4초식 무공"
221,"암명선풍살","패왕파천련","쌍극 전용","5초식 무공"
222,"빙뢰천섬","패왕파천련","비파 전용","4초식 무공"
223,"비선파천곡","패왕파천련","비파 전용","5초식 무공"
224,"혈화공파세","혈무교","박도 전용","4초식 무공"
225,"혈마참천도","혈무교","박도 전용","5초식 무공"
226,"분귀격참","혈무교","장창 전용","4초식 무공"
227,"마신혈환격","혈무교","장창 전용","5초식 무공"
228,"환마격발파","혈무교","금강저 전용","4초식 무공"
229,"마신환혼장","혈무교","금강저 전용","5초식 무공"
230,"오성연환진","동행 진법무공","동행무공","공격성공 상승"
231,"오성환원진","동행 진법무공","동행무공","공격회피 상승"
232,"백련회선","백도십삼천","검 전용 ","4초식 무공"
233,"용비구천검","백도십삼천","검 전용 ","5초식 무공"
234,"참마천격","백도십삼천","도 전용 ","4초식 무공"
235,"분뢰격섬","백도십삼천","도 전용 ","5초식 무공"
236,"맹룡격풍","백도십삼천","권 전용","4초식 무공"
237,"사신천환세","백도십삼천","권 전용","5초식 무공"
238,"파세현섬","패왕파천련","태도 전용","4초식 무공"
239,"시류연살","패왕파천련","태도 전용","5초식 무공"
240,"묵룡선회","패왕파천련","쌍극 전용","4초식 무공"
241,"암명선풍살","패왕파천련","쌍극 전용","5초식 무공"
242,"빙뢰천섬","패왕파천련","비파 전용","4초식 무공"
243,"비선파천곡","패왕파천련","비파 전용","5초식 무공"
244,"혈화공파세","혈무교","박도 전용","4초식 무공"
245,"혈마참천도","혈무교","박도 전용","5초식 무공"
246,"분귀격참","혈무교","장창 전용","4초식 무공"
247,"마신혈환격","혈무교","장창 전용","5초식 무공"
248,"환마격발파","혈무교","금강저 전용","4초식 무공"
249,"마신환혼장","혈무교","금강저 전용","5초식 무공"
250,"오성연환진","동행 진법무공","동행무공","공격성공 상승"
251,"오성환원진","동행 진법무공","동행무공","공격회피 상승"
252,"백련회선","백도십삼천","검 전용 ","4초식 무공"
253,"용비구천검","백도십삼천","검 전용 ","5초식 무공"
254,"참마천격","백도십삼천","도 전용 ","4초식 무공"
255,"분뢰격섬","백도십삼천","도 전용 ","5초식 무공"
256,"맹룡격풍","백도십삼천","권 전용","4초식 무공"
257,"사신천환세","백도십삼천","권 전용","5초식 무공"
258,"파세현섬","패왕파천련","태도 전용","4초식 무공"
259,"시류연살","패왕파천련","태도 전용","5초식 무공"
260,"묵룡선회","패왕파천련","쌍극 전용","4초식 무공"
261,"암명선풍살","패왕파천련","쌍극 전용","5초식 무공"
262,"빙뢰천섬","패왕파천련","비파 전용","4초식 무공"
263,"비선파천곡","패왕파천련","비파 전용","5초식 무공"
264,"혈화공파세","혈무교","박도 전용","4초식 무공"
265,"혈마참천도","혈무교","박도 전용","5초식 무공"
266,"분귀격참","혈무교","장창 전용","4초식 무공"
267,"마신혈환격","혈무교","장창 전용","5초식 무공"
268,"환마격발파","혈무교","금강저 전용","4초식 무공"
269,"마신환혼장","혈무교","금강저 전용","5초식 무공"
270,"오성연환진","동행 진법무공","동행무공","공격성공 상승"
271,"오성환원진","동행 진법무공","동행무공","공격회피 상승"
272,"백련회선","백도십삼천","검 전용 ","4초식 무공"
273,"용비구천검","백도십삼천","검 전용 ","5초식 무공"
274,"참마천격","백도십삼천","도 전용 ","4초식 무공"
275,"분뢰격섬","백도십삼천","도 전용 ","5초식 무공"
276,"맹룡격풍","백도십삼천","권 전용","4초식 무공"
277,"사신천환세","백도십삼천","권 전용","5초식 무공"
278,"파세현섬","패왕파천련","태도 전용","4초식 무공"
279,"시류연살","패왕파천련","태도 전용","5초식 무공"
280,"묵룡선회","패왕파천련","쌍극 전용","4초식 무공"
281,"암명선풍살","패왕파천련","쌍극 전용","5초식 무공"
282,"빙뢰천섬","패왕파천련","비파 전용","4초식 무공"
283,"비선파천곡","패왕파천련","비파 전용","5초식 무공"
284,"혈화공파세","혈무교","박도 전용","4초식 무공"
285,"혈마참천도","혈무교","박도 전용","5초식 무공"
286,"분귀격참","혈무교","장창 전용","4초식 무공"
287,"마신혈환격","혈무교","장창 전용","5초식 무공"
288,"환마격발파","혈무교","금강저 전용","4초식 무공"
289,"마신환혼장","혈무교","금강저 전용","5초식 무공"
290,"오성연환진","동행 진법무공","동행무공","공격성공 상승"
291,"오성환원진","동행 진법무공","동행무공","공격회피 상승"
292,"백련회선","백도십삼천","검 전용 ","4초식 무공"
293,"용비구천검","백도십삼천","검 전용 ","5초식 무공"
294,"참마천격","백도십삼천","도 전용 ","4초식 무공"
295,"분뢰격섬","백도십삼천","도 전용 ","5초식 무공"
296,"맹룡격풍","백도십삼천","권 전용","4초식 무공"
297,"사신천환세","백도십삼천","권 전용","5초식 무공"
298,"파세현섬","패왕파천련","태도 전용","4초식 무공"
299,"시류연살","패왕파천련","태도 전용","5초식 무공"
300,"묵룡선회","패왕파천련","쌍극 전용","4초식 무공"
301,"암명선풍살","패왕파천련","쌍극 전용","5초식 무공"
302,"빙뢰천섬","패왕파천련","비파 전용","4초식 무공"
303,"비선파천곡","패왕파천련","비파 전용","5초식 무공"
304,"혈화공파세","혈무교","박도 전용","4초식 무공"
305,"혈마참천도","혈무교","박도 전용","5초식 무공"
306,"분귀격참","혈무교","장창 전용","4초식 무공"
307,"마신혈환격","혈무교","장창 전용","5초식 무공"
308,"환마격발파","혈무교","금강저 전용","4초식 무공"
309,"마신환혼장","혈무교","금강저 전용","5초식 무공"
310,"오성연환진","동행 진법무공","동행무공","공격성공 상승"
311,"오성환원진","동행 진법무공","동행무공","공격회피 상승"
312,"백련회선","백도십삼천","검 전용 ","4초식 무공"
313,"용비구천검","백도십삼천","검 전용 ","5초식 무공"
314,"참마천격","백도십삼천","도 전용 ","4초식 무공"
315,"분뢰격섬","백도십삼천","도 전용 ","5초식 무공"
316,"맹룡격풍","백도십삼천","권 전용","4초식 무공"
317,"사신천환세","백도십삼천","권 전용","5초식 무공"
318,"파세현섬","패왕파천련","태도 전용","4초식 무공"
319,"시류연살","패왕파천련","태도 전용","5초식 무공"
320,"묵룡선회","패왕파천련","쌍극 전용","4초식 무공"
321,"암명선풍살","패왕파천련","쌍극 전용","5초식 무공"
322,"빙뢰천섬","패왕파천련","비파 전용","4초식 무공"
323,"비선파천곡","패왕파천련","비파 전용","5초식 무공"
324,"혈화공파세","혈무교","박도 전용","4초식 무공"
325,"혈마참천도","혈무교","박도 전용","5초식 무공"
326,"분귀격참","혈무교","장창 전용","4초식 무공"
327,"마신혈환격","혈무교","장창 전용","5초식 무공"
328,"환마격발파","혈무교","금강저 전용","4초식 무공"
329,"마신환혼장","혈무교","금강저 전용","5초식 무공"
330,"오성연환진","동행 진법무공","동행무공","공격성공 상승"
331,"오성환원진","동행 진법무공","동행무공","공격회피 상승"
332,"백련회선","백도십삼천","검 전용 ","4초식 무공"
333,"용비구천검","백도십삼천","검 전용 ","5초식 무공"
334,"참마천격","백도십삼천","도 전용 ","4초식 무공"
335,"분뢰격섬","백도십삼천","도 전용 ","5초식 무공"
336,"맹룡격풍","백도십삼천","권 전용","4초식 무공"
337,"사신천환세","백도십삼천","권 전용","5초식 무공"
338,"파세현섬","패왕파천련","태도 전용","4초식 무공"
339,"시류연살","패왕파천련","태도 전용","5초식 무공"
340,"묵룡선회","패왕파천련","쌍극 전용","4초식 무공"
341,"암명선풍살","패왕파천련","쌍극 전용","5초식 무공"
342,"빙뢰천섬","패왕파천련","비파 전용","4초식 무공"
343,"비선파천곡","패왕파천련","비파 전용","5초식 무공"
344,"혈화공파세","혈무교","박도 전용","4초식 무공"
345,"혈마참천도","혈무교","박도 전용","5초식 무공"
346,"분귀격참","혈무교","장창 전용","4초식 무공"
347,"마신혈환격","혈무교","장창 전용","5초식 무공"
348,"환마격발파","혈무교","금강저 전용","4초식 무공"
349,"마신환혼장","혈무교","금강저 전용","5초식 무공"
350,"오성연환진","동행 진법무공","동행무공","공격성공 상승"
351,"오성환원진","동행 진법무공","동행무공","공격회피 상승"
352,"백련회선","백도십삼천","검 전용 ","4초식 무공"
353,"용비구천검","백도십삼천","검 전용 ","5초식 무공"
354,"참마천격","백도십삼천","도 전용 ","4초식 무공"
355,"분뢰격섬","백도십삼천","도 전용 ","5초식 무공"
356,"맹룡격풍","백도십삼천","권 전용","4초식 무공"
357,"사신천환세","백도십삼천","권 전용","5초식 무공"
358,"파세현섬","패왕파천련","태도 전용","4초식 무공"
359,"시류연살","패왕파천련","태도 전용","5초식 무공"
360,"묵룡선회","패왕파천련","쌍극 전용","4초식 무공"
361,"암명선풍살","패왕파천련","쌍극 전용","5초식 무공"
362,"빙뢰천섬","패왕파천련","비파 전용","4초식 무공"
363,"비선파천곡","패왕파천련","비파 전용","5초식 무공"
364,"혈화공파세","혈무교","박도 전용","4초식 무공"
365,"혈마참천도","혈무교","박도 전용","5초식 무공"
366,"분귀격참","혈무교","장창 전용","4초식 무공"
367,"마신혈환격","혈무교","장창 전용","5초식 무공"
368,"환마격발파","혈무교","금강저 전용","4초식 무공"
369,"마신환혼장","혈무교","금강저 전용","5초식 무공"
370,"오성연환진","동행 진법무공","동행무공","공격성공 상승"
371,"오성환원진","동행 진법무공","동행무공","공격회피 상승"
372,"백련회선","백도십삼천","검 전용 ","4초식 무공"
373,"용비구천검","백도십삼천","검 전용 ","5초식 무공"
374,"참마천격","백도십삼천","도 전용 ","4초식 무공"
375,"분뢰격섬","백도십삼천","도 전용 ","5초식 무공"
376,"맹룡격풍","백도십삼천","권 전용","4초식 무공"
377,"사신천환세","백도십삼천","권 전용","5초식 무공"
378,"파세현섬","패왕파천련","태도 전용","4초식 무공"
379,"시류연살","패왕파천련","태도 전용","5초식 무공"
380,"묵룡선회","패왕파천련","쌍극 전용","4초식 무공"
381,"암명선풍살","패왕파천련","쌍극 전용","5초식 무공"
382,"빙뢰천섬","패왕파천련","비파 전용","4초식 무공"
383,"비선파천곡","패왕파천련","비파 전용","5초식 무공"
384,"혈화공파세","혈무교","박도 전용","4초식 무공"
385,"혈마참천도","혈무교","박도 전용","5초식 무공"
386,"분귀격참","혈무교","장창 전용","4초식 무공"
387,"마신혈환격","혈무교","장창 전용","5초식 무공"
388,"환마격발파","혈무교","금강저 전용","4초식 무공"
389,"마신환혼장","혈무교","금강저 전용","5초식 무공"
390,"오성연환진","동행 진법무공","동행무공","공격성공 상승"
391,"오성환원진","동행 진법무공","동행무공","공격회피 상승"
392,"백련회선","백도십삼천","검 전용 ","4초식 무공"
393,"용비구천검","백도십삼천","검 전용 ","5초식 무공"
394,"참마천격","백도십삼천","도 전용 ","4초식 무공"
395,"분뢰격섬","백도십삼천","도 전용 ","5초식 무공"
396,"맹룡격풍","백도십삼천","권 전용","4초식 무공"
397,"사신천환세","백도십삼천","권 전용","5초식 무공"
398,"파세현섬","패왕파천련","태도 전용","4초식 무공"
399,"시류연살","패왕파천련","태도 전용","5초식 무공"
400,"묵룡선회","패왕파천련","쌍극 전용","4초식 무공"
401,"암명선풍살","패왕파천련","쌍극 전용","5초식 무공"
402,"빙뢰천섬","패왕파천련","비파 전용","4초식 무공"
403,"비선파천곡","패왕파천련","비파 전용","5초식 무공"
404,"혈화공파세","혈무교","박도 전용","4초식 무공"
405,"혈마참천도","혈무교","박도 전용","5초식 무공"
406,"분귀격참","혈무교","장창 전용","4초식 무공"
407,"마신혈환격","혈무교","장창 전용","5초식 무공"
408,"환마격발파","혈무교","금강저 전용","4초식 무공"
409,"마신환혼장","혈무교","금강저 전용","5초식 무공"
410,"오성연환진","동행 진법무공","동행무공","공격성공 상승"
411,"오성환원진","동행 진법무공","동행무공","공격회피 상승"
412,"백련회선","백도십삼천","검 전용 ","4초식 무공"
413,"용비구천검","백도십삼천","검 전용 ","5초식 무공"
414,"참마천격","백도십삼천","도 전용 ","4초식 무공"
415,"분뢰격섬","백도십삼천","도 전용 ","5초식 무공"
416,"맹룡격풍","백도십삼천","권 전용","4초식 무공"
417,"사신천환세","백도십삼천","권 전용","5초식 무공"
418,"파세현섬","패왕파천련","태도 전용","4초식 무공"
419,"시류연살","패왕파천련","태도 전용","5초식 무공"
420,"묵룡선회","패왕파천련","쌍극 전용","4초식 무공"
421,"암명선풍살","패왕파천련","쌍극 전용","5초식 무공"
422,"빙뢰천섬","패왕파천련","비파 전용","4초식 무공"
423,"비선파천곡","패왕파천련","비파 전용","5초식 무공"
424,"혈화공파세","혈무교","박도 전용","4초식 무공"
425,"혈마참천도","혈무교","박도 전용","5초식 무공"
426,"분귀격참","혈무교","장창 전용","4초식 무공"
427,"마신혈환격","혈무교","장창 전용","5초식 무공"
428,"환마격발파","혈무교","금강저 전용","4초식 무공"
429,"마신환혼장","혈무교","금강저 전용","5초식 무공"
430,"오성연환진","동행 진법무공","동행무공","공격성공 상승"
431,"오성환원진","동행 진법무공","동행무공","공격회피 상승"
432,"무극살상진","동행 진법무공","진 안의","적 1인 공격"
433,"무극살상진","동행 진법무공","진 안의","적 1인 공격"
434,"무극살상진","동행 진법무공","진 안의","적 1인 공격"
435,"무극살상진","동행 진법무공","진 안의","적 1인 공격"
436,"무극살상진","동행 진법무공","진 안의","적 1인 공격"
437,"무극살상진","동행 진법무공","진 안의","적 1인 공격"
438,"무극살상진","동행 진법무공","진 안의","적 1인 공격"
439,"무극살상진","동행 진법무공","진 안의","적 1인 공격"
440,"무극살상진","동행 진법무공","진 안의","적 1인 공격"
441,"무극살상진","동행 진법무공","진 안의","적 1인 공격"
442,"무극살상진","동행 진법무공","진 안의","적 1인 공격"
443,"무극살상진","동행 진법무공","진 안의","적 1인 공격"
444,"천왕호각진","동행 진법무공","동행원들의","호신강기 형성"
445,"천왕호각진","동행 진법무공","동행원들의","호신강기 형성"
446,"천왕호각진","동행 진법무공","동행원들의","호신강기 형성"
447,"천왕호각진","동행 진법무공","동행원들의","호신강기 형성"
448,"천왕호각진","동행 진법무공","동행원들의","호신강기 형성"
449,"천왕호각진","동행 진법무공","동행원들의","호신강기 형성"
450,"천왕호각진","동행 진법무공","동행원들의","호신강기 형성"
451,"천왕호각진","동행 진법무공","동행원들의","호신강기 형성"
452,"천왕호각진","동행 진법무공","동행원들의","호신강기 형성"
453,"천왕호각진","동행 진법무공","동행원들의","호신강기 형성"
454,"파공오행진","동행 진법무공","진 안의","영역 점혈 공격"
455,"파공오행진","동행 진법무공","진 안의","영역 점혈 공격"
456,"파공오행진","동행 진법무공","진 안의","영역 점혈 공격"
457,"파공오행진","동행 진법무공","진 안의","영역 점혈 공격"
458,"파공오행진","동행 진법무공","진 안의","영역 점혈 공격"
459,"파공오행진","동행 진법무공","진 안의","영역 점혈 공격"
460,"파공오행진","동행 진법무공","진 안의","영역 점혈 공격"
461,"파공오행진","동행 진법무공","진 안의","영역 점혈 공격"
462,"단공축쇄진","동행 진법무공","진 안의","1회 영역 공격"
463,"단공축쇄진","동행 진법무공","진 안의","1회 영역 공격"
