ID,Name,Chat1,Chat2,Chat3,Chat4,Chat5
34,"호귀당원","춥지 않냐고 물었소?", "이정도 추위에 벌벌 떤다면야 어찌 패도성을 지키는", "호귀당원이라 할 수 있겠소.", "근무에 방해되니 좀 비켜주시구려.", ""
35,"호귀당원",""호귀당원은 위선적인 백도천, 광신도적인"", "혈무교들이 싫어 흘러 들어온 무림인들이", "대부분이오. 처음에는 아무런 신념도 없었지.", "하지만 호귀당원이 되고부터는 모두 달라졌어", ""
36,"호귀당원","하아….. 오늘도 한달치 용돈을 잃었어…", "응? 맞아.. 망할 도선생 때문이지!", "항상 처음에는 잘 나가다 마지막에", "털린단 말야… 아 그놈의 노인네", "비결이 뭘까?"
37,"칠편선생 공찬필","듣자하니 호적자 탁유기가 노부를 뒤에서 욕하고 다닌", "다더군. 쯧쯧.. 한심한 늙은이 같으니라고.", "어디 이상한 사술을 익혀 와서는 노부의 천리비응과", "비교하려 드는 건지..", ""
38,"호귀당원","난 따뜻한 남쪽 나라 출신이라오.", "그래서 이놈의 북설산 추위는 정말 싫어.", "하지만 상관엽 어르신도 남쪽 출신이라고", "들었지. 나도 그분처럼 강해지기위해", "수련하는 기분으로 추위를 견디고 있지."
39,"호귀당원","...", "아 졸려.. 추운데서 졸면 죽는다고", "누가 그러던데… 난 항상 졸아도", "멀쩡하단말야…", ""
40,"칠편선생","그래. 무엇을 도와 줄까 젊은이?", "", "", "", ""
41,"감찰호법 장손기백","본좌도 슬슬 은퇴를 생각해야겠군.", "이제는 이정도 추위도 점점 견디기가", "힘들어지니 말이야..", "예전에 도제 어르신과 함께 대륙을 누비던", "그때가 그립군."
42,"호귀당원","...", "자네 큰일나고싶나!? 앙?", "어서 마우스 치우고 볼일만 보고", "돌아가게나! 여긴 도제어르신께서", "계시는 곳이야!"
43,"호귀당원","여기는 도제님께서 계시는 곳이야.", "알아서 처신하게나.", "", "", ""
44,"호귀당원","...", "말걸어도 대답하지 않을걸세.", "……", "왜냐고? 왠지 멋있어 보이니까.", ""
45,"묵월호법 혈류천살","본좌 이외에도 교주이신 혈무패왕의 곁에는 두 명의", "내호법이 더 있지.", "야차들을 지휘하는 건 본좌의 역할이라네.", "또한 본교의 모든 대소사를 본좌가 지휘하고 있지.", "본좌의 명은 곧 교주의 명이나 마찬가지네."
46,"암혼패도 곡영윤","금도야차의 무공은 주로 강한 베기 위주로 이루어져", "있지. 접근전에서 혈마도경만큼 강한 위력을 발휘할", "수 있는 도법은 천하에 없을 거야.", "자네의 근골은 칼잡이로 타고난 듯하니 혈마도경을", "배워보게나."
47,"염마살장 금견","장창의 종류는 정말 다양하지. 가장 보편적인 뾰족한", ""날이 달린 담부터 시작해 극, 사모, 청룡도등"", "그 변형을 헤아릴 수 없을 정도라네. 접근전에서", "약하다고 꺼리는 자들도 있지만 그건 편견일 뿐.", "진정한 장창의 달인은 거리의 제약을 받지 않는다네."
48,"통천군 왕렴","권강야차들은 모두 주술의 중요성을 알고 있다네.", "집중적인 훈련을 통해 주술과 마공의 가장 이상적인", "결합을 추구하고 있지. 태음마경에 당한 적들은 죽을", "때까지 귀신이 보이는 환각에 시달리다 죽는다네.", ""
49,"혈무법사","천신밀교는 십 오년 전에 이미 멸망했다고 하지.", "허나 어찌된 일인지 최근 들어 다시 부활해 버렸네.", "각 세력들이야 쉬쉬하고 최대한 그들의 부활을 부정", "하고 있지만... ", ""
50,"마도의원 석중뢰","사람의 뱃속이 어떻게 생겼는지 자세히 봤는가?", "노부의 특기가 바로 환자의 배를 직접 열어 치료하는", "것이라네. 혹자는 미친 짓이라 하지만 이런 치료법은", "아마 몇 백 년 후에는 보편화 될 거라 생각하네.", "자네도 몸이 아프면 노부에게 오게나.. 낄낄.."
51,"미란랑 주련","여기서 장사를 하다보면 갑갑할 때가 많아요.", "햇빛도 안 들어오고..", "아.. 이러다가 피부가 상하면 어쩌지? 장사에 지장이", "생기진 않을런지..", ""
52,"호적자 탁유기",""누가 노부를 공찬필, 서문구권과 비교한단 말인가?"", "에잉..쯧쯧...이런 무지한 사람들 같으니라고!!", "노부의 이동부적은 감히 그 영감들이 따라올 수 없는", "경지에 이르렀단 말일세!!", ""
53,"표맹철공 등고성","하루 종일 망치질만 하다보면 가끔은 이 짓을 때려쳐", "버리고 싶은 생각도 들곤 하지.", "그래도 쉬고 있자면 손이 근질거려서 또 망치를 들곤", "한단 말이야. 제기랄.. 망할 놈의 팔자!!", ""
54,"추안노걸 구양축","흠냐.. 설마 내 얼굴이 못생겼다고 속으로 웃는 거요?", "그건 아니겠지..? 이래 뵈도 나도 젊은 시절에는 정말", "한 인물 했다오!! 미남거지 구양축이 지나간다 하면", "온 성안의 아낙들이 속옷까지 적선해줬소이다!!", "정말이오!! 못 믿겠단 말이오?!! 허허.. 내 참.."
55,"봉문야차","본성은 강한 결계가 형성되어있어 귀마들이 절대로", "들어올 수 없지. 겁 없는 녀석들은 모두 오라하게!!", "봉문야차의 무서움을 가르쳐주지.", "흐흐흐흐..", ""
56,"봉문야차","본성은 강한 결계가 형성되어있어 귀마들이 절대로", "들어올 수 없지. 겁 없는 녀석들은 모두 오라하게!!", "봉문야차의 무서움을 가르쳐주지.", "흐흐흐흐..", ""
57,"봉문야차 수장 나유성","혈류천살님의 무공은 십 오년 전에 잠깐 본 적 있지.", "정말 대단했다네. 마치 지옥에서 갓 올라온 야차왕과", "같았지. 하지만 그런 혈류천살님의 무공도 교주이신", "혈무패왕님의 십분의 일도 못 따라 간다더군.", "난 직접 본 적은 없지만 말이야..."
58,"외호법 호왕표","자네 이 부근에 수상한 자 못봤나?", "", "", "", ""
59,"봉문야차","봉문 야차들은 자신속에 한마리의", "야차를 키우고 있지. 방심하다가는", "그 야차에 먹히는 수가 있어.", "그러면 어떻게 되냐고? 크크..", "나도 궁금하군."
60,"봉문야차","...", "야차의 창 끝에는 자비란 없다.'", "얼마전에 금견님께서 하신 말씀이", "생각나는군. 그래도 금견님은 함부로", "살생을 하지 않는 분이시지."
61,"호적자","나의 부적은 천리를 이동시켜 주지.", "", "", "", ""
62,"봉문야차","여긴 마존님께서 계시는 곳이다.", "", "", "", ""
63,"봉문야차","...", "그만 조용히 할 수 없겠나?", "자네가 혈류천살님께사 인정한", "야차 라고해도 마존님 앞에서는 ", "일개 야차일 뿐이란걸 명심해."
64,"봉문야차","가끔 우리들 야차외에 다른 누군가 다녀간", "흔적이 발견되곤하지.", "아직까지 아무런 일이 없지만", "왠지 불안해.", ""
65,"삼관선생","흠.. 하도 오랫동안 이 일만 하다보니 이제는 정말", "장사하기가 막 싫어지는군.", "이제 나도 은퇴할 때가 온 것인가?", "", ""
66,"화옥랑","어서 오세요. 명성이 높아진다면 당연히 그에 걸맞는", "옷을 입어야겠죠? 여기 좋은 옷이 많이 있으니 한번", "구경해보세요.", "", ""
67,"표맹철공 무불소","내 실력을 의심하는 거요?", "이래 뵈도 표맹 내에서도 상급 철공이라오.", "못 믿겠다면 여기 있는 물건들을 한번 직접 보시구랴!!", "", ""
68,"죽장노걸","죽장노걸이란 이름은 사람들이 이사람에게 붙여준 ", "별명이오. 옛날에는 진짜 이름이 있었는데 언제부", "터인가 그걸 까먹게 되었소. 허허허..", "", ""
69,"취중의원","흠냐.. 아직 술이 깨질 않는군.", "엥? 이래가지고 어떻게 사람을 진찰 하냐고?", "그런 걱정일랑 접어두시구려!!", "이래 뵈도 벌써 몇 십 년째 여러 사람 살려봤소이다.", ""
70,"호귀당원","여기서부터는 공동 영역인 오지산이오.", "다른 세력의 사람들과 마주칠 일이 많으니 부디", "조심하시기 바라오.", "", ""
71,"호귀당원","여기서부터는 공동 영역인 오지산이오.", "다른 세력의 사람들과 마주칠 일이 많으니 부디", "조심하시기 바라오.", "", ""
72,"봉문야차","여기서부터는 공동 영역인 오지산이라네.", "이래저래 다른 세력의 인간들도 많으니 조금", "번거로운 일이 많을 걸세. 조심하게나.", "", ""
73,"봉문야차","여기서부터는 공동 영역인 오지산이라네.", "이래저래 다른 세력의 인간들도 많으니 조금", "번거로운 일이 많을 걸세. 조심하게나.", "", ""
74,"금붕무사","여기서부터는 삼 세력의 공동 영역인 오지산", "입니다. 정파 외에도 사파와 마교의 무리들과", "마주칠 일이 많으니 조심하십시오.", "", ""
75,"금붕무사","여기서부터는 삼 세력의 공동 영역인 오지산", "입니다. 정파 외에도 사파와 마교의 무리들과", "마주칠 일이 많으니 조심하십시오.", "", ""
76,"복운선생","여기가 바로 귀향곡이라네.", "천신밀교의 영역으로 지금까지 봐왔던 곳과는 차원이", "다를 걸세. 바로 이곳이 전장터이기 때문이야.", "지형적 특성으로 인해 이곳을 차지하기 위한 분쟁이", "언제나 끊이질 않는다네."
77,"추적대장 남궁유백","결국 그동안의 공존은 거울에 비친 허상과도 같았군.", "아아.. 하늘이여..!! 이 허망함은 어찌해야 하나..?", "십 오년의 평화는 정녕 폭풍전야의 고요란 말인가!!", "이것이 돌이킬 수 없는 천명이라면.. ", "받아들이겠다!! 모두 천도의 검을 뽑아라!!"
78,"금붕무사","여기서부터는 더 이상의 공존은 없습니다.", "본 백도십삼천의 사람 외에는 모두가 적이죠.", "다른 세력의 살수들이 당신의 목숨을 노릴지 모르니", "조심하십시오. ", ""
79,"수색호법 동방무혼","공존은 끝났다..", "거짓의 가면을 쓴 위선자와 흑도의 본의를 벗어난", "미치광이 야차들은 이제 우리의 적일 뿐..", "뜻에 어긋남은 하늘이라도 양단할 수 있는 것이 바로", "패도의 혼!! 놈들에게 그것을 보여주도록.."
80,"호귀당","어이 자네!! 여기서부터 조심하는게 좋을거야.", "젠장할 전쟁이 이미 시작怜킵..", "믿기 싫겠지만 빌어먹게도 사방이 온통 적이지.", "죽기 싫으면 먼저 죽여야만 하는 것이 이 망할 곳에서", "살아남는 법이지."
81,"외호법 흑사왕","지옥에 온 것을 환영하네!! ", "이곳이야말로 마도를 걷는 야차를 위한 길..", "전쟁의 업화 속에 자네의 혼을 태워보라고!!", "이단자들의 피로 축배를 높이 들 그날까지 우리의", "앞을 가로막는 놈들은 모두 우리의 적임을 잊지말게!!"
82,"봉문야차","전장이란 곳은..", "오로지 죽이는 자에게만 모든 의미가 존재하는 곳..", "모두가 미쳐버린 광란의 지옥이오.", "마인에게 있어 가장 어울리는 곳이기도 하지요.", "모든 것은 본교를 위해!!"
83,"추적대 송호","추적대는 대부분이 나처럼 외지에 파견 나와 있다네.", "언제나 목숨을 내건 위험한 임무를 수행하기 때문에", "추적대의 대원들은 자주 바뀌곤 하지.", "그나마 나는 그 중에서 꽤나 장수한 편이야.. 하하..", "그렇지 않은가..?"
84,"탐색조 야율근","음.. 그러고 보니 패도성에 돌아가지 않은 지가 꽤", "된 모양이로군..", "내 유일한 가족이자 여동생이 본성에서 의복점을 하고", "있는 야율민이라네..", "그 아이는 잘 지내고 있을지.."
85,"수색대 서광","검마릉은 전설의 고수인 검마가 자신의 죄를 씻고자", "마검과 함께 검마 스스로를 봉인한 무덤이라네.", "내 임무가 그 마검의 행방을 찾는 것이지..", "", ""
86,"검황 이세진","본좌가 바라는 것은 오직 한 가지 뿐이네.", ""정, 사, 마의 구분이 강호에서 사라지는 것.."", "그것이 어느 한 세력의 통일을 의미하는 것은 아니야.", "본좌는 다만 몇 백년의 골이 깊게 패인 각 세력 간의", "갈등을 본좌의 대에서 사라지는 것을 바랄 뿐이라네."
87,"도제 능예","바람을 가르는 칼의 노랫소리가 들린다면", "그것이 천하를 가르는 진정한 패도의 칼이라네.", "본좌는 그 노래 하나에 이끌려 오늘까지 왔지..", "그러나 그 패도의 칼로도 베지 못한 것이 세월이야..", "본좌도 이제 늙었다는 게 실감이 나네.. 후후후.."
88,"마존 혈무패왕","본좌의 염원이 있다면 오로지 하나!!", "그것은 바로 마도통일이다..", "우리를 버린 하늘에 대한 복수를 하는 그날이 온다면", "본좌는 억겁 아래 초열지옥의 불길 속에서 영혼이", "타들어가는 그 순간에도 웃을 수 있을게야.. 큭큭.."
89,"충원호법 용검천","자네는 아직 젊은 나이에도 불구하고 상당한 경지에", "이르렀군. 자네같은 이가 있어 정말 다행이야..", "이제는 젊은 사람의 시대야..", "우리의 검은 세월 속에 그 흔적을 남긴것 하나로도", "족하다네.."
90,"대원호법 황대언","본좌의 일은 천주이신 검황 어르신의 염원을 이루실", "그날까지 그저 보좌하는 것 뿐이네..", "내 미천한 재주가 그나마 도움이 된다면 그걸로도", "충분할 뿐..", ""
91,"금호군 친위대","이곳은 천주님이 계신 신성한 곳이오.", "불필요한 소란이나 눈에 띄는 행동은 삼가하시는게", "좋을 것이외다.", "", ""
92,"천추호법 모용생",""본좌와 곽운서, 상관엽을 세인들은 파천삼장이라고"", "부른다네. 이외에도 패왕파천련에는 일곱 명의 수석", "원로들이 존재한다네. 그들을 칠기회라고 부르지.", "허나 파천삼장과 칠기회는 사이가 좋지 못하다네..", "그 늙은이들은 너무나도 고지식해서 말이야.. 허허.."
93,"발해호법 곽운서","자네를 보니 상관엽이 생각나는군.", "정말 그의 젊은 시절 모습을 보는 듯 하단 말야..", "그러고 보니 그와 처음 만났을 때가 생각나는군..", "삼일을 꼬박 싸워도 결판이 나지 않았었지..", "물론 그 후에 둘도 없는 친구가 되었지만.. 후훗.."
94,"비혼객 친위대","........", "...........", "..............", "왜 그렇게 빤히 보는가?", ""
95,"흑무호법 당비","교주께서 계시는 자리라네.", "최대한 예의를 갖추게.", "", "", ""
96,"암영호법 독고천리","혈류천살이 비록 그 속을 알 수 없는 음흉한 작자는", "틀림없지만 그래도 그 역시 교주님에 대한 충성만은", "진실이라네.. 큭큭..", "", ""
97,"흑무야차 친위대","아직까지는 교주께 불경을 저지르는 녀석은 없었지만", "혹시라도 그런 녀석이 나타난다면 죽지 못한 것을", "뼈저리게 후회하게 만들어 줄 거라네..", "차라리 팔대지옥을 해메는 게 더 나을거야.. 흐흐..", ""
98,"추적대 원상의","이 부근에는 위험한 적들이 너무나도 많네.", "최근에는 더욱 그렇지..", "어느정도 일신의 무공에 자신이 있는 자가 아니라면", "언제 죽는다 해도 이상한 일은 아니라네.", ""
99,"추적대 악래","쉿..", "동굴 안은 소리가 울려퍼져 적에게 발각되기 쉬우니", "행동에 늘 조심하도록 하게..", "", ""
100,"탐색조 하후표","최근 들어 멸천화극 호패가 너무 설친단 말이야..", "아무리 북방의 제왕이라지만 정도가 너무 심해..", "이러다가 얼마 가지 않아 북도성과의 전쟁이 일어날", "지도 모르겠어..", ""
101,"탐색조 이전","풍류살수 위지문월.. 멸천화극 호패.. 거기에다가", "비설옥의 계승자..", "잠 자고 있던 거물들이 하나 둘씩 강호에 다시 모습을", "드러내는 건 그만큼 강호에 또 한 차례의 피바람이", "몰아친다는 징조가 아닐까.. "
102,"수색대 담천풍","본성의 경비를 서는 것 보다는 전방에 나서서 이렇게", "적과 직접 전투를 치르는 것이 더 짜릿하단 말이야.", "나는 따분한 건 질색이거든.. 흐흐흐..", "", ""
103,"수색대 괴뢰","음..", "미안하지만 말 시키지 말게..", "내가 지금 매우 중요한 일을 하고 있으니 말이야..", "", ""
104,"설산낙안 설시은","여기서 더는 안으로 전진할 수는 없다.", "", "", "", ""
105,"추적대 진현","추적대는 정말 위험한 일이라네.", "나는 이 일을 하면서 벌써 죽을 고비를 얼마나 많이", "넘겼는지 모르네.", "", ""
106,"추적대 좌룡","될 수 있다면 동굴 안에서는 소리를 내지 말게나.", "작은 소리라도 크게 들릴 수도 있기 때문이라네.", "", "", ""
107,"선발대 모용추","자네.. 내가 추워보이나?", "......", "실은 매우 춥다네. 제길..", "대체 호귀당원의 복장을 누가 이렇게 만든 건지..", ""
108,"선발대 배운성","이래뵈도 한때는 밀귀당의 잘나가는 살수였지.", "어찌하다보니 지금은 선발대로 변경되었지만..", "뭐 내가 원해서 그런 것은 아닌데 정말로 어떻게", "하다보니 이렇게 되었군.", ""
109,"수색조 갈청","요즘 세상이 왜 이런지 모르겠군.", "사람행세를 하는 박쥐가 다니지를 않나 황소보다 큰", "거미가 기어다니지를 않나..", "역수촌에서 그것들을 보고 있노라면 정말 짜증이 마구", "솟구친다네."
110,"수색조 관공","뭐 이곳이 전설의 마신릉이라고는 하지만 아마도", "누군가가 꾸며낸 헛소문에 불과할거야.", "왜냐하면 내가 이곳을 돌아본 결과 그리 대단한 건", "아무 것도 없거든.", ""
111,"철필서생 매봉산","...", "", "", "", ""
112,"풍류살수 위지문월","...", "", "", "", ""
113,"뇌광철장 천평","...", "", "", "", ""
114,"수비대장 제갈굉","자네도 들었나?", "천신밀교의 놈들이 대규모로 몰려온다는 것 말이야!!", "솔직히 난 두렵네.. 어떡하면 좋지?", "마누라랑 자식 놈 얼굴이 눈 앞에 어른거려서 그냥", "눈물이 왈칵 쏟아지려 하는구먼.."
115,"수비대장 문인배강","자네도 참전하려고 하는가?", "흠.. 그렇잖아도 사람이 모자라던 참이었네만..", "잘 됐군. 저기 저쪽으로 가면 자네 말고도 살수들이", "많이 대기하고 있다네.", "그쪽으로 가보게나."
116,"수비대장 동합","긴 말은 않겠네.", "가서 지옥을 만들어 오게나..", "천신밀교 놈들에게 야차의 분노를 보여주란 말일세!!", "", ""
117,"도신불패 홍해천","어차피 인생 한방!! 모 아니면 도라네.", "젊은친구가 무얼 그리 망설이는게야?", "한번 화끈하게 질러보라구!! ", "노부만큼은 아니더라도 자네도 웬지 도박에 소질이", "있어보이니 말이야.."
118,"도왕천군 금사당","세인들은 노부가 홍해천보다 한 수 아래라 평하지.", "모두 개소리에 불과할 뿐이라네!!", "뭐 지금이야 늙어서 저 친구와 같이 도방을 운영하긴", "하지만 십년 전만 해도 저 친구와 나는 별 기상천외한", "내기를 하며 승부욕을 불태웠었지."
119,"도선노군 문회춘","도박이란 것이 사실상 운이지.", "허나 그 운이란 것을 가져오는 것 또한 능력이라네.", "오늘 보아하니 자네 운수는 좋아보이는군.", "하하하하..", " "
120,"추적대 남궁인","백가동이라고는 하지만 이름만 그럴싸할뿐..", "여기에는 과거에 학자들이 모였다는 그 어떤 흔적도", "남아있지를 않다네.", "사실 동굴이란 곳이 그냥 이름만 붙이고 그럴듯한", "유래만 갖다붙이는 곳도 많단 말이야."
121,"탐색조 냉현기","여기는 정말 최악이라네.", "햇빛이라고는 구경도 할 수 없고 사방에는 온통 썩은", "곰팡이와 악취만이 가득하니..", "게다가 씻지도 못하니 몸에 밴 악취는 정말..", "제길.. 이곳에 오래 있다간 미쳐버리고 말거야."
122,"수색대 우산용","나와 담천풍이는 오랜 친구라네.", "우리가 이 수색대 일을 시작한지도 벌써 십여년이나", "되어가는군.", "그때는 나도 자네처럼 어렸다네.", "물론 자네처럼 겉만 늙지는 않았지만.. 흐흐흐."
123,"수비대장 화용걸","우웃.. 최전선에 있다보면 항상 긴장하게 된다네.", "사람이 긴장하게 되면 예민해지는 법이지.", "사실 나는 좀 신경질적이긴 하다네.", "그러니 미안한 말이지만 될 수 있다면 불필요한 말은", "걸지 말아주게나. "
124,"수비대장 유유","여기 있다보면 별 괴상한 것들을 다 보게 된다네.", "대체 천신밀교 놈들은 뭘 믿고 저런 이상한 괴물들을", "만들어내는지 모르겠단 말이야.", "본래 무림이란 곳이 무인 간의 전장과도 같은 곳인데 ", "천신밀교 놈들이 물을 다 흐려놓았지.. 제길!!"
125,"수비대장 연백령","사실 나는 이런 전장이 체질적으로 맞지 않아..", "세상이 이렇지만 않았더라도 나는 아마 강호를 유랑한", "의원이 되었을지도 모른다네.", "어찌하다보니 이렇게 강호인이 되었구먼..", "허허허.."
126,"수비대장 우문길","제길.. 손이 근질거리는군.", "이거 먼저 놈들을 치러 갈 수도 없고..", "수비대장이란건 이래서 할 맛 안난다니까..", "내 성질 같으면 벌써 정파와 마교를 치러 갔겠건만..", ""
127,"수비대장 동방현","여기는 전장이라네.", "방심한 자에게는 오로지 죽음 뿐인 잔혹한 곳이지.", "나는 그렇게 잃은 부하의 수만 해도 꽤 된다네.", "다시는 그때를 되풀이 하고 싶지 않아..", ""
