id, Name, Level, Clan, QuestNumber, NextQuest, Unknown4, Unknown4a, Unknown5, InQuestDestPacket1, Unknown7, Unknown8, FromNPCID, Unknown10, Unknown11, Unknown12, Unknown13, Unknown14, ToNPCID, MonsterID, Value, Unknown17, Unknown18, RewardType, RewardValue, Text1, Text2, Text3, Text4, Text5, Text6, Text7, Text8, Text9, Text10
--,,,,,,,,,,,,,,,,,,,,,,,0,0,"Tut tut.. you are so uncaring..","Hurry and go to Jucidal.","Can't belive me? Then I will proove it!!","","","","","Compared to him my diciple is..hmm..tut tut..","","Don't even think about getting lazy. Hahaha.."
--,,,,,,,,,,,,,,,,,,,,,,,,,"I told you to share the tasty wine.. Oh my..","I'll give you gift when you come back. hahaha..","Hahahahaha!! Hahahahaha!!","","","","","Good job anyway .","","Don't make me wait too long."
--,,,,,,,,,,,,,,,,,,,,,,,,,"Ahem.. The reason I called you today is..","","How about it? Don't you think you're opposed?!!","","","","","I'll give you a gift as promised.","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"You need go to gocheon for a while.","","You're not? Tut. You need to learn seeing skills. ","","","","","Make sure to bring me some tasty wine next time.  ","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"You know Chief Detective Jucidal right?","","However it's nice to meet you. So must be ","","","","","Understood?","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"Jucidal will write back ","","a favorite student of famous Mr. Gwanine.","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"when you give this letter to him.","","It's really like master like diciple!! haha!!","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"Understood?","","I have read Gwanine's letter.","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"","","Please give this reply letter to him.","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"","","Let him know that I'll be visiting him with ","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"","","a tasty wine sometime. Hahahaha!!","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","",""
6,"[Way of Justice] Retrieve the diamond.",22,1,6,7,1,2,0,0,0,0,12,0,0,0,0,0,12,504,0,0,0,6,11026,"Nice to meet you young friend!!","I was a famous knight when he was young..","","","","","","Oh.. you finally came.","","Hey, will you help me when you have time?"
--,,,,,,,,,,,,,,,,,,,,,,,0,0,"I've heard that you are Chivalry Deed these days.","To put it bluntly, rat is what he's afraid of from","","","","","","I was sure that you'll bring back the diamond!!","","Hope you retreive the diamond."
--,,,,,,,,,,,,,,,,,,,,,,,0,0,"What?!! You're not? Haha. What a modest you are.","the whole universe. hahaha..","","","","","","Thank you so much.. ","","I'll return a courtesy when retreived."
--,,,,,,,,,,,,,,,,,,,,,,,,,"I know your thoughts. So I'm about to.. hahaha.","Please understand that I'd like to go with you","","","","","","This is for a good faith.","","I believe you can do it."
--,,,,,,,,,,,,,,,,,,,,,,,,,"Appeal for your spacious 'Chivalry'.","if there were no rats.","","","","","","I have belief in you that you'll help me ","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"With your Chivalry, Will you do me a favor?","Then I'll be waiting for a good news.","","","","","","next time.","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"The old man is mortified about a situation.. ","","","","","","","Thank you.. Hahaha.","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"Yesterday the old man went west ","","","","","","","I will provide a return courtesy.","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"to buy the best diamond for the precious sword.","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"But Bloody Hunchback took it away on the way back.","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"I barely made it alive. ","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"He couldn't sleep last night.","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"because he was vexatious..","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"Can you retreive that diamond?","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"Would you do me a favor?","","","","","","","","",""
7,"[Way of Justice] Find 'detective(Manhunt) Songho'.",24,1,7,8,1,7,0,0,0,0,18,0,0,0,0,0,83,0,0,0,0,6,150,"Ha ha ha!! Nice to meet you!!","Of course it'll be better to go myself ","","","","","","Ah.. You are the diciple of Mr. Gwanine.","","Hey!! Would you help me?!!"
--,,,,,,,,,,,,,,,,,,,,,,,5,1,"How is your master?!!","but I have other work to do..","","","","","","I heard you were very famous. hahaha..","","Situation is not good.. "
--,,,,,,,,,,,,,,,,,,,,,,,4,6734,"I'll laugh at you since you haven't been here ","I trust you the most because ","","","","","","However it's fortunate that you came here.","","The person sent by Mr haven't arrive yet..?"
--,,,,,,,,,,,,,,,,,,,,,,,,,"for a while!! Hahahaha!! Hahahahaha!!","you are one of the diciples of Mr. Gwanine.","","","","","","The situation isn't well.","","How long would it take?  unbearable.. "
--,,,,,,,,,,,,,,,,,,,,,,,,,"Hahahaha!! Hahahahaha!!","Wish you luck.","","","","","","It should of been very dangerous journey.","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"Hmm.. The reason why I called you is ","I'll smile at you to boost up your energy.","","","","","","Good job. But I can't leave now.","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"because I need to ask you a favor.","Hahahahaha!! Hahahahahaha!!","","","","","","I'll send a letter to Mr. Jucidal.","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"Connection from 'Songho', my manhunt team, ","","","","","","","I have more to investigate in Mujung Palace.","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"was lost ever since he has entered Mujung Palace..","","","","","","","You should get out of here first. ","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"It seems like there's some kind of accident.","","","","","","","This is a Recall Scroll. You'll get to the ","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"Infiltrate Muju-gung Palace and find 'Songho'.","","","","","","","castle using this.","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"Tell him to quit the Mujung Palace quest.","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"Just need to tell him that.","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"Please!! Hahaha!!","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","",""
8,"[Way of Justice] Obstruction of Red Demon.",26,1,8,9,1,1,0,0,0,0,8,0,0,0,0,0,8,24,50,0,0,4,17094,"It's a serious matter.","Hurry and depart!!","","","","","","Haha.. Excellent job.","","Hey there. Come see me."
--,,,,,,,,,,,,,,,,,,,,,,,0,0,"Friend.. Have you heard the news?","This is a urgent matter of our castle's future.","","","","","","We have passed our castle's crisis safely.","","Let's meet at the castle after the mission!"
--,,,,,,,,,,,,,,,,,,,,,,,0,0,"Yellow Demon's Red Demon is planning to ","Red Demon is currently stationed at gocheon.","","","","","","I heard you helped a lot. ","","We'll attack from behind!! Everyone move rapidly!"
--,,,,,,,,,,,,,,,,,,,,,,,,,"attack our castle soon.","Since the vanguard already has left, it won't be","","","","","","Have you cured your laziness?","","I'll be waiting for a good news!!"
--,,,,,,,,,,,,,,,,,,,,,,,,,"Bastards!!","too hard to find their headquarter!!","","","","","","Hahaha!! Just Joking!! ","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"They'll most likely attack when most of the troops ","","","","","","","What? My jokes are not funny at all?!!","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"of our castle are put in to guard the bride!!","","","","","","","Hmm.. Are you going to be that way..? ","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"Thanks to Mr. Gucheol we got the information  ","","","","","","","However this is the reward complimenting your ","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"first..but the troops in the castle","","","","","","","service from Dawon Upholder Mr. Hwang.","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"are not enough to take a shot.","","","","","","","Please do not refuse.","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"Help us. Even one person will be appreciated.","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"Vanguard left first. Follow them  ","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"and destroy Red Demon's moral  ","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"plan!! ","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","",""
9,"[Way of Justice] Give letter to Mr. Jucidal.",28,1,9,10,1,3,0,0,0,0,83,0,0,0,0,0,18,505,0,0,0,4,19488,"I'm sorry to bring you all this way.","I'm sorry but please hurry!!","","","","","","Hey!! Young friend!! What are you doing here?","","Please come to Mujung Palace. It's urgent."
--,,,,,,,,,,,,,,,,,,,,,,,0,0,"But this is a very urgent matter..","This might be regarding all Warrior world's peace..","","","","","","Did you want to see my smile again?","","Nice weather.. Is someone coming to see me?"
--,,,,,,,,,,,,,,,,,,,,,,,0,0,"Won't speak too long. Please give this to ","","","","","","","I'll welcome you anytime(100 times)!! Huh? No?","","It's about time for Songho letter to arrive.."
--,,,,,,,,,,,,,,,,,,,,,,,,,"Mr. Jucidal in a hurry. ","","","","","","","Ah.. You have brought Songho letter.","","Hmm.. Songho letter is late."
--,,,,,,,,,,,,,,,,,,,,,,,,,"Please!!","","","","","","","Hmm...","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","I see!! Just like I guessed!!","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","Since you brought this letter ","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","you should know about it..","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","Don't be surprised.","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","It's true that the Yaoguai is back according to ","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","Songho. That's what I thought.","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","However we should carefully think about it..","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","Thank you. You have done an excellent job..","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","",""
10,"[Way of Justice] Blocking 'Hitokiri Hoyungum'.",28,1,10,11,2,5,2,4294965394,0,4294964102,18,0,0,0,0,0,18,904,1,0,0,6,492,"Hey you should know 'Hoyungum'!!","Of course I know this mission is very dangerous.","","","","","","Did you really perish Hoyungum..?","Hmm.. I guess you don't have any sympathy ","Ah.. I need to tell you something."
--,,,,,,,,,,,,,,,,,,,,,,,0,0,"You have studied with him before in Hongwawon,","Of course I know this mission is very dangerous.","","","","","","I can't believe it.. I knew you were very skilled ","toward Hoyungum after all.","Fighting with Hoyungum is not easy..."
--,,,,,,,,,,,,,,,,,,,,,,,0,0,"but he was expelled due to several problems.","You can quit if you want.","","","","","","but didn't know it would be this much..","As a matter of fact I did teach him.","I'm very curious about it.."
--,,,,,,,,,,,,,,,,,,,,,,,,,"Now he came back being one of 'Hitokiri'.","Behave wisely.","","","","","","Thank you for your troublesome..","That's why I wanted to persuade him.","I'll be waiting for a good news."
--,,,,,,,,,,,,,,,,,,,,,,,,,"You know who Hitokiris are, right?","Go to the front of golden wing swordman's sentry ","","","","","","It's not pleasureable to perish your old friend.","If this is the case I will have to end the mistake",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"They loath Guanyin."," in south gocheon if you want to see him.","","","","","","An old diciple's death is also the same..","of an old diciple of mine has made..",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"They have killed many soldiers in the castle. ","You'll be able to meet with Hoyungum there.","","","","","","I have actually taught him before.","Thank you. I'll take care of the rest.",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"Specially the Hoyungum is the best of Ildangcheon.","","","","","","","Maybe it's my fault that he became like this..","Get some rest.",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"The reason why I called you today is ","","","","","","","But still it's fortunate that he's able to stop.","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"to see if you can get rid of him.","","","","","","","Thank you so much.","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"I know your relationship with him is warm..","","","","","","","I'm giving this to you since you might need this.","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"It's okay if you don't want to do it.","","","","","","","Please don't refuse.","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"How about it..? Would you like to meet him?","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"He frequently shows up infront of the south  ","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"Golden Wing Swordsman's sentry post in gocheon.","","","","","","","","",""
11,"[Way of Justice] Meet the Medical King.",30,1,11,12,1,7,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,1,0,"This is terrible..","You know him as well as I do, Jinsong is not ","","","","","","I'm not a well known medic but I'll have to do.","","It's urgent and I need you here right now."
--,,,,,,,,,,,,,,,,,,,,,,,0,0,"You probably heard it that we were attacked ","the type who will outwitted that easily.","","","","","","besides, he is aware of Jinsong's condition.","","The castle seems to be disordered today."
--,,,,,,,,,,,,,,,,,,,,,,,0,0,"while escorting the bride.","There must be a reason why the carriage was","","","","","","The medic is infamous, but if this works ","","Ha ha.. will we be having a guest..?"
--,,,,,,,,,,,,,,,,,,,,,,,,,"Luckily, with the aid of Jinsong","attacked besides the mystical offerings.","","","","","","I'll be grateful. But there aren't enough ","","Somehow I feel that we will have a guest soon."
--,,,,,,,,,,,,,,,,,,,,,,,,,"we were able to escort the bride safely,","Hurry and find the medic and tell him that we are ","","","","","","medical ingredients to make the antidote.","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"but he was wounded severely.","looking for him..","","","","","","The incident at Carrier and I can't supply","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"Luckily, Dawon Upholder treated him","","","","","","","the needed medical ingredient..","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"but that is all that he can do.","","","","","","","This is terrible..","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"According to him there is a well-known medic ","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"in the castle. Go and meet him","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"Jin is a very eminent individual in our castle","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"and we must do our best in helping him recover.","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"Understand?","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","",""
12,"[Way of Justice] Get Ginsen's 3roots From The Grave.",30,1,12,13,1,2,0,0,0,0,10,0,0,0,0,0,10,506,506,506,0,6,490,"There's only one way of retreiving Jinsong.","toxin demons hate Guanyin","","","","","","Ohoh..","","I will have to ask you for the trouble."
--,,,,,,,,,,,,,,,,,,,,,,,0,0,"By the forbidden Natural Water of Rejuvenation.","so they will not give it to you easily.","","","","","","Fortunately you have brought ginseng from grave.","","We just need 3 roots of Ginsen From The Grave."
--,,,,,,,,,,,,,,,,,,,,,,,0,0,"You'll need various materials to make it.","It will be very difficult to retreive it.","","","","","","It's good you're not late. Thank you.","","It can be a hard work."
--,,,,,,,,,,,,,,,,,,,,,,,,,"Everything is easy to find except one.","Don't hesitate since it's to save a friend's life.","","","","","","We should be able to recover Jinsong.","","Watch out for toxin demon's knavish tricks."
--,,,,,,,,,,,,,,,,,,,,,,,,,"It's poisonous plant called Ginsen From The Grave.","Don't forget.","","","","","","I promise under my name.","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"It's strong poison plant that only grow on graves","You must retreive from Buckethead.","","","","","","I'll do it myself once the medicine is made.","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"Everyone knows that this can bring dead to life.","","","","","","","Get some rest since you've been through a lot.","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"However it's very difficult to find..","","","","","","","This is for your troublesome..","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"I heard that toxin demon is ","","","","","","","It'll be very useful.","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"growing that Ginsen From The Grave. ","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"Get that Ginsen From The Grave from toxin demon.","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"Just need 3 roots.","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"The toxin demon's Buckethead probably have it.","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","",""
13,"[Way of Justice] Bring the report from Songho.",32,1,13,14,1,4,0,0,0,0,1,83,0,0,0,0,1,507,0,0,0,4,14068,"Your hard labor was great last time.","Just making sure..","Ah.. It's you.","","","","","Hmm. Thank you for the trouble of a long journey.","","There's important matter for you to see.."
--,,,,,,,,,,,,,,,,,,,,,,,0,0,"Jinsong's health is getting better beacause of you.","Bring the report from Songho in Mujung Palace.","I was waiting for you.","","","","","Songho did a pretty good job at Mujung Palace.","","You just need to get the report from Songho.."
--,,,,,,,,,,,,,,,,,,,,,,,0,0,"I never knew you'll do such","Understood?","I'm getting alot of help from you these days.","","","","","I'm worried because of everything is too smooth.","","You know your way around Mujung Palace right?"
--,,,,,,,,,,,,,,,,,,,,,,,,,"a great job. Giggle..","It's a top secret letter about Yaoguai.","You must give this letter to Taoist Upholder.","","","","","However it seem like there's another power ","","Still not ready..? Oh my..."
--,,,,,,,,,,,,,,,,,,,,,,,,,"However that reason why I called you today","Please bring it safely.","Thank you.","","","","","besides Yaoguai according to the report..","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"is to give you a very important mission.","","","","","","","Oh my.. This is a serious matter..","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"Go to Mujung Palace.","","","","","","","We just don't know what will happen ","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"You know that Songho has been sent there?","","","","","","","You need to be in the best condition. Understood?","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"Go to Songho and bring the report he has written.","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"Carrier Pigeons are dangerous for now.","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"You've been there several times already.","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","",""
--,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","",""
